item_id,name,category,slot,atk,def,price_buy,price_sell,effect,last_verified,era,obtain,damage_mul
item_038,ひのきのぼう,武器,,攻撃+7,,10,5,なし,2026/03/07,,,
item_039,こんぼう,武器,,攻撃+10,,110,55,なし,2026/03/07,,,
item_040,どうのつるぎ,武器,,攻撃+13,,220,110,なし,2026/03/07,,,
item_041,はがねのつるぎ,武器,,攻撃+30,,"2,400","1,200",なし,2026/03/07,,,
item_042,はじゃのつるぎ,武器,,攻撃+42,,-,"2,200",戦闘中に使うと敵1グループを炎で焼き払う,2026/03/07,,,
item_043,のこぎり刀,武器,,攻撃+54,,#N/A,2500,なし,2026/03/07,,,
item_044,さざなみの剣,武器,,攻撃+65,,-,"3,950",戦闘中に使うと呪文をはね返す魔法のバリアをはる,2026/03/07,,,
item_045,ようせいの剣,武器,,攻撃+52 魅力+18,,"5,000","2,500",戦闘中に使うと守備力をかなり上げる,2026/03/07,,,
item_046,プラチナソード,武器,,攻撃+71 魅力+15,,"10,000","5,000",なし,2026/03/07,,,
item_047,こおりのやいば,武器,,攻撃+58,,"6,000","3,000",武器での攻撃が氷属性になる,2026/03/07,,,
item_048,まどろみの剣,武器,,攻撃+62 魅力+30,,"7,000","3,500",攻撃時8%で敵を眠らせる,2026/03/07,,,
item_049,はやぶさの剣,武器,,攻撃+60,,-,"7,000",2回攻撃できる,2026/03/07,,,0.75
item_050,ゆうわくの剣,武器,,攻撃+68 魅力+45,,"8,000","4,000",攻撃時12%で敵を魅了する,2026/03/07,,,
item_051,ゾンビキラー,武器,,攻撃+77,,"9,000","4,500",ゾンビ系の敵へ与えるダメージが50%増える,2026/03/07,,,1.5
item_052,ドラゴンキラー,武器,,攻撃+96,,-,-,ドラゴン系の敵へ与えるダメージが50%増える,2026/03/07,,,1.5
item_053,ほのおのつるぎ,武器,,攻撃+90,,-,"6,200",武器での攻撃が炎属性になる,2026/03/07,,,
item_054,ユバールの剣,武器,,攻撃+60,,-,-,攻撃時6%で敵をうっとりさせる,2026/03/07,,,
item_055,らいめいの剣,武器,,攻撃+95,,-,"6,500",戦闘中に使うと聖なる稲妻が敵1グループを襲う_武器での攻撃が雷属性になる,2026/03/07,,,
item_056,ゴディアスの剣,武器,,攻撃+97,,"14,000","7,000",戦闘中に使うと敵全体の守備力をすこし下げる,2026/03/07,,,
item_057,きせきのつるぎ,武器,,攻撃+100 魅力+28,,-,-,攻撃で与えたダメージの25%HPが回復する,2026/03/07,,,
item_058,ふぶきのつるぎ,武器,,攻撃+102,,"15,000","7,500",攻撃後氷属性の追加ダメージを与える,2026/03/07,,,
item_059,バスタードソード,武器,,攻撃+116,,16200,"8,100",なし,2026/03/07,,,
item_060,はかいのつるぎ,武器,,攻撃+170,,-,-,呪文や特技のMP消費が2倍になる,2026/03/07,,,
item_061,もろはのつるぎ,武器,,攻撃+150,,-,"11,000",物理攻撃で与えた18%のダメージを自身も受ける,2026/03/07,,,
item_062,王者のつるぎ,武器,,攻撃+125,,-,-,戦いで敵にねらわれやすくなる,2026/03/07,,,
item_063,水竜の剣,武器,,攻撃+120 魅力+52,,-,-,戦闘中に使うと水流を呼び敵1グループに攻撃,2026/03/07,,,
item_064,メタルキングの剣,武器,,攻撃+175,,-,-,メタル系の敵に＋1ダメージ追加する,2026/03/07,,,
item_065,オチェアーノの剣,武器,,攻撃+140,,-,-,攻撃後雷属性の追加ダメージを与える_戦闘中に使うと攻撃力をかなり上げる,2026/03/07,,,
item_066,とがったホネ,武器,,攻撃+6 みかわし率+4%,,110,55,なし,2026/03/07,,,
item_067,ブロンズナイフ,武器,,攻撃+12 みかわし率+5%,,150,75,なし,2026/03/07,,,
item_068,せいなるナイフ,武器,,攻撃+17 みかわし率+6%,,400,200,ゾンビ系の敵への与えるダメージが20%増える,2026/03/07,,,1.2
item_069,どくがのナイフ,武器,,攻撃+24 みかわし率+8%,,-,800,攻撃時8%で敵をマヒさせる,2026/03/07,,,
item_070,アサシンダガー,武器,,攻撃+44 みかわし率+10%,,-,"2,100",攻撃時5%で敵を即死させる_先制する確率が10%上がる,2026/03/07,,,
item_071,石のオノ,武器,,攻撃+19 会心率+3%,,640,320,なし,2026/03/07,,,
item_072,てつのオノ,武器,,攻撃+38 会心率+3%,,2800,1400,なし,2026/03/07,,,
item_073,バトルアックス,武器,,HP+20 攻撃+50 会心率+5％,,5000,2500,なし,2026/03/07,,,
item_074,まじんのオノ,武器,,攻撃+108 会心率+12%,,-,-,なし,2026/03/07,,,
item_075,おおきづち,武器,,攻撃+15,,310,155,なし,2026/03/07,,,
item_076,おおかなづち,武器,,攻撃+26 素早さ-20,,-,900,なし,2026/03/07,,,
item_077,ウォーハンマー,武器,,攻撃+64 素早さ-30 魅力+19,,"6,000","3,000",なし,2026/03/07,,,
item_078,まじんのかなづち,武器,,攻撃+132 素早さ-50 魅力+33,,-,"7,500",攻撃があたれば必ず会心の一撃になる,2026/03/07,,,
item_079,まどうしの杖,武器,,攻撃+15 攻魔+17 回復魔+8 MP吸収率+8%,,1200,600,なし,2026/03/07,,,
item_080,しゅくふくの杖,武器,,攻撃+17 攻魔+18 回復魔+20 MP吸収率+9%,,-,1500,戦闘中に使うと味方ひとりのHPを65〜回復する,2026/03/07,,,
item_081,いかずちの杖,武器,,攻撃+40 攻魔+48 回復魔+13 MP吸収率+10%,,-,3500,戦闘中に使うとはげしい雷で敵全体を攻撃,2026/03/07,,,
item_082,スライムステッキ,武器,,攻撃+10 攻魔+10 MP吸収率+10%,,-,-,戦闘中に使うとスライム系の仲間を呼びだす_効果は以下からランダム,2026/03/07,,,
item_083,ねむりの杖,武器,,攻撃+18 攻魔+22 回復魔+12 MP吸収率+8%,,2000,1000,戦闘中に使うと敵1体を眠りに誘う,2026/03/07,,,
item_084,てんばつの杖,武器,,攻撃+43 攻魔+44 回復魔+25 MP吸収率+10%,,8000,4000,戦闘中に使うと真空の刃で敵2〜5体を切り裂く,2026/03/07,,,
item_085,さばきの杖,武器,,攻撃+32 攻魔+34 回復魔+16 MP吸収率+9%,,-,3000,戦闘中に使うと風が敵2〜4体を切り裂く,2026/03/07,,,
item_086,まふうじの杖,武器,,攻撃+38 攻魔+40 回復魔+19 MP吸収率+10%,,-,3900,戦闘中に使うと敵1グループの呪文を封じる,2026/03/07,,,
item_087,ルーンスタッフ,武器,,攻撃+23 攻魔+28 回復魔+16 MP吸収率+9%,,-,-,戦闘中に使うと味方全員の守備力をすこし上げる,2026/03/07,,,
item_088,けんじゃの杖,武器,,攻撃+51 攻魔+56 回復魔+42 MP吸収率+11%,,13000,6500,戦闘中に使うと味方全員のブレスダメージを軽減する,2026/03/07,,,
item_089,マグマの杖,武器,,攻撃+58 攻魔+83 回復魔-50 MP吸収率+10%,,-,-,戦闘中に使うとマグマが敵全体をおおいつくす,2026/03/07,,,
item_090,ふっかつの杖,武器,,攻魔+62 回復魔+76 MP吸収率+12%,,-,15000,戦闘中に使うと味方ひとりを確実に生き返らせる,2026/03/07,,,
item_091,うみなりの杖,武器,,攻撃+76 攻魔+79 回復魔+46 MP吸収率+12%,,20000,10000,戦闘中に使うと海のチカラで敵全体を攻撃,2026/03/07,,,
item_092,えいゆうの杖,武器,,攻撃+103 攻魔+50 回復魔+50 MP吸収率+12%,,-,-,戦闘中に使うと仲間ひとりを鋼鉄に変化させ攻撃を無効化する,2026/03/07,,,
item_093,たけのやり,武器,,攻撃+8 盾ガード+3%,,50,25,なし,2026/03/07,,,
item_094,てつのやり,武器,,攻撃+23 盾ガード+5%,,750,375,なし,2026/03/07,,,
item_095,ホーリーランス,武器,,攻撃+39 魅力+32 盾ガード+7%,,"3,000","1,500",ゾンビ系の敵へ与えるダメージが30%増える,2026/03/07,,,1.3
item_096,デーモンスピア,武器,,攻撃+116 盾ガード+10%,,-,-,攻撃時6%で敵を即死させる,2026/03/07,,,
item_097,いばらのムチ,武器,,攻撃+14,,500,250,なし,2026/03/07,,,
item_098,皮のムチ,武器,,攻撃+20,,800,400,なし,2026/03/07,,,
item_099,チェーンクロス,武器,,攻撃+38,,"3,200","1,600",なし,2026/03/07,,,
item_100,ドラゴンテイル,武器,,攻撃+56,,"6,800","3,400",ドラゴン系の敵へ与えるダメージが20%増える,2026/03/07,,,1.2
item_101,はがねのムチ,武器,,攻撃+68,,"7,500","3,750",なし,2026/03/07,,,
item_102,グリンガムのムチ,武器,,攻撃+116,,-,-,すべての敵に等しくダメージを与える,2026/03/07,,,
item_103,モーニングスター,武器,,攻撃+46,,"5,500","2,750",すべての敵に等しくダメージを与える,2026/03/07,,,
item_104,はかいの鉄球,武器,,攻撃+155,,-,-,敵全体に攻撃できる_すべての敵に等しくダメージを与える,2026/03/07,,,
item_105,ブーメラン,武器,,攻撃+20,,-,300,なし,2026/03/07,,,
item_106,やいばのブーメラン,武器,,攻撃+26,,3000,1500,なし,2026/03/07,,,
item_107,炎のブーメラン,武器,,攻撃+68,,11200,5600,武器での攻撃が炎属性になる,2026/03/07,,,
item_108,てつのツメ,武器,,攻撃+21 会心率+3%,,920,460,なし,2026/03/07,,,
item_109,ほのおのツメ,武器,,攻撃+53 会心率+5%,,8000,4000,戦闘中に使うと大きな火の玉で敵1体を攻撃_武器での攻撃が炎属性になる,2026/03/07,,,
item_110,ドラゴンクロー,武器,,攻撃+67 会心率+6%,,-,4200,ドラゴン系の敵へ与えるダメージが30%増える,2026/03/07,,,
item_111,あくまのツメ,武器,,攻撃+74 会心率+7%,,9600,4800,攻撃時8%で敵を猛毒にする,2026/03/07,,,
item_112,まじゅうのツメ,武器,,攻撃+86 会心率+8%,,11600,5800,攻撃時10%で敵を猛毒にする_鳥系の敵へ与えるダメージが30%増える,2026/03/07,,,
item_113,石のキバ,武器,,攻撃+12,,340,170,なし,2026/03/07,,,
item_114,はがねのキバ,武器,,攻撃+32,,2200,1100,なし,2026/03/07,,,
item_115,まじゅうのキバ,武器,,攻撃+63,,7600,3800,攻撃時8%で敵をマヒさせる,2026/03/07,,,
item_116,オリハルコンのキバ,武器,,攻撃+135,,-,-,なし,2026/03/07,,,
item_117,月のおうぎ,武器,,攻撃+34 魅力+56,,5700,2850,攻撃時6%で敵をマヒさせる,2026/03/07,,,
item_118,太陽のおうぎ,武器,,攻撃+56 魅力+71,,-,4950,攻撃時8%で敵をうっとりさせる_戦闘中に使うと猛烈な炎が敵1グループを焼きつくす,2026/03/07,,,
item_119,どくばり,武器,,攻撃+1 みかわし率+10%,,-,-,攻撃時10%で敵を即死させる,2026/03/07,,,
item_120,キラーピアス,武器,,攻撃+51 魅力+15 みかわし率+12%,,"10,000","5,000",2回攻撃できる,2026/03/07,,,
item_121,パワーナックル,武器,,攻撃+40 素早さ+40,,-,2000,なし,2026/03/07,,,
item_122,フライパン,武器,,攻撃+42 素早さ-10,,-,100,なし,2026/03/07,,,
item_123,スライムの剣,武器,,攻撃+19 素早さ+20,, ,,スライム系に対するダメージ+50%,2026/03/07,,,
item_124,スライムブーメラン,武器,,攻撃+14,,-,-,スライム系に対するダメージ+50%,2026/03/07,,,1.5
item_125,フェアリーステッキ,武器,,攻撃+26 攻魔+24 回復魔+31 MP吸収率+11%,,4000,2000,自然系の敵を攻撃時8%で魅了する_自分の行動が来るたびにHPが10回復する,2026/03/07,,,
item_126,超グリンガムのムチ,武器,,攻撃+162 魅力+40,,-,-,すべての敵に等しくダメージを与える,2026/03/07,,,
item_127,メタスラの剣,武器,,攻撃+99,,-,10000,メタル系の敵に+1ダメージ追加する,2026/03/07,,,
item_128,メタスラブーメラン,武器,,攻撃+74,,-,12000,メタル系の敵に+1ダメージ追加する,2026/03/07,,,
item_129,メルビンの剣,武器,,攻撃+72,,-,-,攻撃後光属性の追加ダメージを与える,2026/03/07,,,
item_130,冥獣のツメ,武器,,攻撃+104 会心率+10％,,14000,7000,攻撃時12%で敵を猛毒にする_けもの系の敵へ与えるダメージが50%増える,2026/03/07,,,
item_131,ひかりのつるぎ,武器,,攻撃+80 魅力+22,,"10,000","5,000",武器での攻撃が光属性になる_戦闘中に使うと大きな爆発で敵全体を攻撃,2026/03/07,,,
item_132,星のおうぎ,武器,,攻撃+22 魅力+39,,4100,2050,攻撃時6%の確率で敵を混乱させる,2026/03/07,,,
item_133,よるのパピヨン,武器,,攻撃+77 みかわし率+15%,,"11,200","5,600",攻撃時12%で敵をマヒさせる_自然系の敵へ与えるダメージが50%増える,2026/03/07,,,
item_134,プラチナのやり,武器,,攻撃+70 魅力+46 盾ガード+9%,,"10,000","5,000",なし,2026/03/07,,,
item_135,ビーストウィップ,武器,,攻撃+32,,-,"1,500",けもの系の敵へ与えるダメージが30%増える,2026/03/07,,,1.3
item_136,セイレーンの杖,武器,,攻撃+46 攻魔+41 回復魔+57 MP吸収率+12%,,-,7200,攻撃時8%で敵を魅了する_戦闘中に使うと味方ひとりのHPを52回復しHP自動回復に,2026/03/07,,,
item_137,女神の杖,武器,,攻撃+62 攻魔+59 回復魔+63 MP吸収率+15%,,-,8100,戦闘中に使うと味方ひとりの呪いを払う_あくま系の敵へ与えるダメージが20%増える,2026/03/07,,,
item_138,こおりの杖,武器,,攻撃+28 攻魔+32 回復魔+12 MP吸収率+9%,,5400,2700,戦闘中に使うと氷のかたまりが敵1グループをつらぬく,2026/03/07,,,
item_139,すいせいのつるぎ,武器,,攻撃+147 魅力+35,,-,-,攻撃時12%で敵の守備力をすこし下げる,2026/03/07,,,
item_140,はぐれメタルの剣,武器,,攻撃+136,,-,20000,メタル系の敵に+1ダメージ追加する,2026/03/07,,,
item_141,グレートアックス,武器,,HP+30 攻撃+106 魅力+27 会心率+8%,,-,15000,攻撃時8%で敵の攻撃力をすこし下げる,2026/03/07,,,
item_142,聖王のおうぎ,武器,,攻撃+73 魅力+86,,-,-,自然系の敵へ与えるダメージが20%増える,2026/03/07,,,
item_143,とこしえの杖,武器,,攻撃+90 攻魔+100 回復魔+49 MP吸収率+15%,,-,-,呪文暴走率が10%増える,2026/03/07,,,
item_144,タイタニアステッキ,武器,,攻撃+36 攻魔+30 回復魔+46 MP吸収率+14%,,6600,3300,自然系の敵を攻撃時10%で魅了する_自分の行動が来るたびにHPが15回復する,2026/03/07,,,
item_145,ロトのつるぎ,武器,,攻撃+200 攻魔+70 回復魔+70 魅力+100,,-,-,武器での攻撃が雷属性になる_自分の行動がくるたびにHPが100回復する,2026/03/07,,,
item_146,ぎんがのつるぎ,武器,,攻撃+182 魅力+50,,-,-,攻撃時24%で敵の守備力をすこし下げる,2026/03/07,,,
item_147,真・水竜の剣,武器,,攻撃+190 魅力+75 会心率+10%,,-,-,戦闘中に使うと脅威の激流を呼び敵1グループぶ攻撃_受けるダメージを20%減らす,2026/03/07,,,
item_148,聖竜のえんげつとう,武器,,攻撃+170 魅力+58 盾ガード+13%,,-,-,攻撃で与えたダメージの25%HPが回復する_武器での攻撃が光属性になる,2026/03/07,,,
item_149,はぐメタブーメラン,武器,,攻撃+106,,-,24000,メタル系の敵に+1ダメージ追加する,2026/03/07,,,
item_150,ラヴィアンローズ,武器,,攻撃+94 魅力+109,,-,-,攻撃時10％で敵を魅了する_バーストチャージ状態になりやすくなる,2026/03/07,,,
item_151,メタキンブーメラン,武器,,攻撃+140,,-,-,メタル系の敵に+1ダメージ追加する,2026/03/07,,,
item_152,布の服,服,,守備+4,,10,5,なし,2026/03/07,,,
item_153,たびびとの服,服,,守備+7,,70,35,なし,2026/03/07,,,
item_154,きぬのタキシード,服,,守備+10 魅力+12,,-,"1,750",なし,2026/03/07,,,
item_155,スライムの服,服,,守備+10 素早さ+10,,800,400,先制する確率が5％上がる,2026/03/07,,,
item_156,おどりこの服,服,,守備+20 魅力+21 みかわし率0.06,,"1,080",540,なし,2026/03/07,,,
item_157,きぞくの服,服,,守備+21 魅力+18,,-,900,なし,2026/03/07,,,
item_158,みかわしの服,服,,守備+28 みかわし率0.1,,"2,000","1,000",なし,2026/03/07,,,
item_159,はでな服,服,,守備+28 魅力+28,,"2,500","1,250",なし,2026/03/07,,,
item_160,かいぞくの服,服,,HP+5 守備+32 器用さ+20,,"2,800","1,400",なし,2026/03/07,,,
item_161,おしゃれなスーツ,服,,守備+40 魅力+36,,-,"4,000",なし,2026/03/07,,,
item_162,マジカルスカート,服,,守備+38 攻魔+20 回復魔+20,,"3,500","1,750",すべての属性ダメージを7%減らす,2026/03/07,,,
item_163,皮のドレス,服,,守備+17,,700,350,なし,2026/03/07,,,
item_164,パーティードレス,服,,守備力+40魅力+38,,7000,3500,なし,2026/03/07,,,
item_165,スパンコールドレス,服,,守備+48 魅力+48,,8400,4200,なし,2026/03/07,,,
item_166,ひかりのドレス,服,,守備+78 魅力+71,,-,"12,000",30%で敵から受けた呪文をはね返す,2026/03/07,,,
item_167,ただの布きれ,服,,守備+1,,5,2,なし,2026/03/07,,,
item_168,ふろしきマント,服,,守備+33 器用さ+50,,-,-,倒した敵がアイテムを落としやすくなる,2026/03/07,,,
item_169,毛皮のマント,服,,守備+18,,900,450,氷のダメージを10%減らす,2026/03/07,,,
item_170,ミンクのコート,服,,守備+52,,"10,600","5,300",氷のダメージを25%減らす,2026/03/07,,,
item_171,ふしぎなボレロ,服,,守備+40 攻魔+17,,-,-,敵から受けた呪文のMPを20%で自分のものにする,2026/03/07,,,
item_172,真ふしぎなボレロ,服,,守備+99 攻魔+50 回復魔+50,,-,-,敵から受けた呪文のMPを50%で自分のものにする,2026/03/07,,,
item_173,やみのころも,服,,守備+56 攻魔+36 みかわし率0.12,,-,-,先制する確率が10%上がる,2026/03/07,,,
item_174,きぬのローブ,服,,守備+13 攻魔+6,,-,800,なし,2026/03/07,,,
item_175,まほうの法衣,服,,守備+24 攻魔+15 回復魔+15,,"2,600","1,300",すべての属性ダメージを18%減らす,2026/03/07,,,
item_176,まどうしのローブ,服,,守備+34 攻魔+21 魅力+31,,"3,100","1,550",炎のダメージを10%減らす_光のダメージを10%減らす,2026/03/07,,,
item_177,風のローブ,服,,守備+50 攻魔+30 素早さ+30 魅力+39 みかわし率0.2,,-,-,なし,2026/03/07,,,
item_178,天使のローブ,服,,守備+48 攻魔+22 回復魔+34,,"9,400","4,700",すべての属性ダメージを12％減らす_即死を50％で防ぐ,2026/03/07,,,
item_179,清きころも,服,,守備+64 魅力+77,,-,-,すべての属性ダメージを25%減らす,2026/03/07,,,
item_180,みずのはごろも,服,,守備+48 攻魔+26 回復魔+26,,"8,400","4,200",炎のダメージを20%減らす_氷のダメージを20%減らす,2026/03/07,,,
item_181,プリンセスローブ,服,,守備+44 攻魔+28 回復魔+23 魅力+41,,-,"3,400",すべての属性ダメージを12%減らす,2026/03/07,,,
item_182,ドラゴンローブ,服,,守備+70 攻魔+43 回復魔+35,,"19,000","9,500",すべての属性ダメージを15%減らす,2026/03/07,,,
item_183,ステテコパンツ,服,,守備+5,,-,50,なし,2026/03/07,,,
item_184,皮のこしまき,服,,守備+12,,400,200,なし,2026/03/07,,,
item_185,バニースーツ,服,,守備+17 魅力+40,,-,1000,なし,2026/03/07,,,
item_186,天使のレオタード,服,,守備+93 魅力+104,,-,"15,000",なし,2026/03/07,,,
item_187,シルクのビスチェ,服,,守備+38 魅力+63,,"7,800","3,900",なし,2026/03/07,,,
item_188,しんぴのビスチェ,服,,守備+84 魅力+91 会心率0.1,,-,"12,000",なし,2026/03/07,,,
item_189,てつのむねあて,服,,守備+33,,"2,400","1,200",なし,2026/03/07,,,
item_190,ぎんのむねあて,服,,守備+46,,"4,200","2,100",なし,2026/03/07,,,
item_191,皮のよろい,服,,守備+11,,180,90,なし,2026/03/07,,,
item_192,うろこのよろい,服,,守備+15,,450,225,炎のダメージを12%減らす,2026/03/07,,,
item_193,こうらのよろい,服,,守備+20,,980,490,なし,2026/03/07,,,
item_194,くさりかたびら,服,,守備+24,,"1,150",575,なし,2026/03/07,,,
item_195,せいどうのよろい,服,,守備+28,,"1,650",825,なし,2026/03/07,,,
item_196,てつのよろい,服,,守備+38,,"3,200","1,600",なし,2026/03/07,,,
item_197,カメのこうら,服,,守備+40,,"2,000","1,000",なし,2026/03/07,,,
item_198,はがねのよろい,服,,守備+44,,"4,000","2,000",なし,2026/03/07,,,
item_199,バイキングアーマー,服,,HP+10 守備+48,,-,"3,250",なし,2026/03/07,,,
item_200,ダンシングメイル,服,,守備+86 魅力+80 みかわし率0.12,,"9,200","4,600",なし,2026/03/07,,,
item_201,シルバーメイル,服,,守備+52,,"5,700","2,850",すべての属性ダメージを8%減らす,2026/03/07,,,
item_202,まほうのよろい,服,,守備+54 攻魔+19 回復魔+19,,"9,000","4,500",すべての属性ダメージを10%減らす,2026/03/07,,,
item_203,あつでのよろい,服,,守備+62,,"7,800","3,900",炎のダメージを15%減らす_氷のダメージを15%減らす,2026/03/07,,,
item_204,やいばのよろい,服,,守備+77,,-,-,物理攻撃で受けたダメージの100%をはね返す,2026/03/07,,,
item_205,精霊のよろい,服,,守備+78 攻魔+32 回復魔+32,,"21,000","10,500",すべての属性ダメージを12%減らす,2026/03/07,,,
item_206,ドラゴンメイル,服,,守備+69,,"12,000","6,000",炎のダメージを20%減らす_氷のダメージを20%減らす,2026/03/07,,,
item_207,プラチナメイル,服,,守備+73 魅力+43,,"14,000","7,000",すべての属性ダメージを12%減らす,2026/03/07,,,
item_208,炎のよろい,服,,守備+74,,16000,8000,炎のダメージを30%減らす,2026/03/07,,,
item_209,スライムアーマー,服,,守備+70,,"13,200","6,600",なし,2026/03/07,,,
item_210,しんぴのよろい,服,,守備+75,,-,-,自分の行動が来るたびにHPが 20回復する,2026/03/07,,,
item_211,真しんぴのよろい,服,,守備+110,,-,-,自分の行動が来るたびにHPが100回復する,2026/03/07,,,
item_212,ギガントアーマー,服,,守備+105,,-,28000,炎のダメージを15%減らす_氷のダメージを15%減らす,2026/03/07,,,
item_213,ミラーアーマー,服,,守備+98 魅力+91,,-,"19,000",30%で敵から受けた呪文をはね返す,2026/03/07,,,
item_214,王家のよろい,服,,守備+100,,-,-,炎のダメージを20%減らす,2026/03/07,,,
item_215,メタルキングよろい,服,,守備+140,,-,-,すべての属性ダメージを20%減らす,2026/03/07,,,
item_216,ガイアーラのよろい,服,,守備+120,,-,-,すべての属性ダメージを25%減らす,2026/03/07,,,
item_217,王者のマント,服,,守備+80 魅力+71,,-,-,すべての属性ダメージを18%減らす,2026/03/07,,,
item_218,おやすみワンピース,服,,守備+79 魅力+150,,-,-,なし,2026/03/07,,,
item_219,おなべのフタ,盾,,守備+2 魅力-20 盾ガード+5%,,40,20,なし,2026/03/07,,,
item_220,皮の盾,盾,,守備+4 盾ガード+5%,,90,45,なし,2026/03/07,,,
item_221,うろこの盾,盾,,守備+10 盾ガード+5%,,-,140,炎のダメージを8%減らす,2026/03/07,,,
item_222,キトンシールド,盾,,守備+9 みかわし率+8% 盾ガード+5%,,310,155,なし,2026/03/07,,,
item_223,せいどうの盾,盾,,守備+9 盾ガード+6%,,400,200,なし,2026/03/07,,,
item_224,てつの盾,盾,,守備+14 盾ガード+6%,,600,300,炎のダメージを5%減らす_氷のダメージを5%減らす,2026/03/07,,,
item_225,シルバートレイ,盾,,守備+12 魅力+9 盾ガード+5%,,480,240,なし,2026/03/07,,,
item_226,ホワイトシールド,盾,,守備+19 盾ガード+6%,,980,490,炎のダメージを10%減らす,2026/03/07,,,
item_227,まほうの盾,盾,,守備+22 攻魔+12 回復魔+11 盾ガード+6%,,-,-,すべての属性ダメージを5%減らす_戦闘中に使うと呪文耐性がすこし上がる,2026/03/07,,,
item_228,プラチナシールド,盾,,守備+27 魅力+19 盾ガード+7%,,"3,500","1,750",炎のダメージを5%減らす,2026/03/07,,,
item_229,こおりの盾,盾,,守備+31 盾ガード+6%,,"3,800","1,900",氷のダメージを20%減らす,2026/03/07,,,
item_230,ドラゴンシールド,盾,,守備+35 盾ガード+6%,,"4,500","2,250",炎のダメージを15%減らす_氷のダメージを15%減らす,2026/03/07,,,
item_231,ドルフィンシールド,盾,,守備+23 魅力+15 盾ガード+6%,,"1,600",800,氷のダメージを10%減らす,2026/03/07,,,
item_232,ふうじんの盾,盾,,守備+37 盾ガード+6%,,"6,000","3,000",戦闘中に使うと敵全体を光の彼方へ消し去る_風のダメージを20%減らす,2026/03/07,,,
