skill_id,name,type,element,mp,power,hit,target,notes,last_verified,damage_mul
sk_020,ザキ,呪文,-,4,,1,敵1体,効果:呪いの言葉が敵1体を死へといざなう_職業:僧侶(★7),2026/02/07,
sk_021,ザラキ,呪文,-,2,,1,敵全体,効果:呪いの言葉が敵全体を死へといざなう_職業:賢者(★4),2026/02/07,
sk_022,メガンテ,呪文,-,3,,1,敵全体,効果:命を捨てて敵全体を打ち砕く禁断の呪文_職業:船乗り(★7),2026/02/07,
sk_023,ニフラム,呪文,-,5,,1,敵全体,効果:敵全体を光の彼方へ消しさる_職業:勇者(★2)_神の兵士(★2),2026/02/07,
sk_024,ラリホー,呪文,-,6,,1,敵1グループ,効果:敵1体を眠りにさそう_職業:魔法使い(★1),2026/02/07,
sk_025,メダパニ,呪文,-,0,,1,敵1体,効果:敵1体を混乱させる_職業:ひよっこ網元(★7),2026/02/07,
sk_026,マヌーサ,呪文,-,2,,1,敵1グループ,効果:敵1グループを幻でつつみこむ_職業:魔法使い(★2)_まもの使い(★2),2026/02/07,
sk_027,マホトーン,呪文,-,24,,1,敵1グループ,効果:敵1グループの呪文を封じる_職業:僧侶(★3),2026/02/07,
sk_028,ルカニ,呪文,-,8,,1,敵1体,効果:敵1体の守備力をかなり下げる。_職業:魔法使い(★3),2026/02/07,
sk_029,ルカナン,呪文,-,24,,1,敵全体,効果:敵全体の守備力を少し下げる_職業:魔法使い(★4),2026/02/07,
sk_030,マホトラ,呪文,-,4,,1,敵1体,効果:敵1体からMPを吸いとる_職業:魔法使い(★5),2026/02/07,
sk_031,バイキルト,呪文,-,20,,1,味方ひとり,効果:仲間ひとりの攻撃力をかなり上げる_職業:魔法戦士(★2)_スーパースター(★4),2026/02/07,
sk_032,スカラ,呪文,-,18,,-,味方ひとり,効果:仲間ひとりの守備力をかなり上げる_職業:僧侶(★2)_ひよっこ漁師(★3),2026/02/07,
sk_033,スクルト,呪文,-,10,,-,味方全員,効果:仲間全員の守備力をすこし上げる_職業:賢者(★3)_パラディン(★1),2026/02/07,
sk_034,マホカンタ,呪文,-,1,,-,味方ひとり,効果:仲間ひとりに呪文をはね返す魔法のバリア_職業:魔法戦士(★5),2026/02/07,
sk_035,マジックバリア,呪文,-,8,,-,味方全員,効果:仲間全員に呪文ダメージを軽減するバリア_職業:魔法戦士(★3),2026/02/07,
sk_036,フバーハ,呪文,-,40,,-,味方全員,効果:仲間全員のブレスダメージを軽減する_職業:賢者(★1),2026/02/07,
sk_037,アストロン,呪文,-,4,,-,味方ひとり,効果:仲間ひとりを鋼鉄に変化させ攻撃を無効化する_職業:勇者(★1),2026/02/07,
sk_038,ホイミ,呪文,-,3,,-,味方ひとり,効果:仲間ひとりのHPを25〜回復させる。_職業:僧侶(★1)_羊飼い(★1),2026/02/07,
sk_039,ベホイミ,呪文,-,2,,-,味方ひとり,効果:仲間ひとりのHPを65〜回復させる。_職業:僧侶(★3)_賢者(★1),2026/02/07,
sk_040,ベホマ,呪文,-,8,,-,味方ひとり,効果:仲間ひとりのHPを完全に回復する_職業:賢者(★6),2026/02/07,
sk_041,ベホマラー,呪文,-,1,,-,味方全員,効果:仲間全員のHPを90〜回復する_職業:僧侶(★6)_パラディン(★6),2026/02/07,
sk_042,ベホマズン,呪文,-,4,,-,味方全員,効果:仲間全員のHPを完全に回復する_職業:天地雷鳴士(★6),2026/02/07,
sk_043,キアリー,呪文,-,2,,-,味方ひとり,効果:仲間ひとりの毒を消しさる_職業:僧侶(★1)_賢者(★1),2026/02/07,
sk_044,キアリク,呪文,-,9,,-,味方全員,効果:味方全員のマヒ、眠りをなおす_職業:船乗り(★2),2026/02/07,
sk_045,ザオラル,呪文,-,7,,-,味方ひとり,効果:仲間ひとりを生き返らせるが失敗する時もある_職業:僧侶(★7)_パラディン(★6),2026/02/07,
sk_046,ザオリク,呪文,-,1,,-,味方ひとり,効果:仲間ひとりを確実に生き返らせる_職業:賢者(★4)_勇者(★5),2026/02/07,
sk_047,メガザル,呪文,-,2,,-,味方全員,効果:自分の命をかけて仲間全員を完全に復活させる_職業:パラディン(★7),2026/02/07,
sk_048,ルーラ,呪文,-,8,,-,移動,効果:訪れたことがある町や城などの入口へ一瞬で移動できる。過去では使用不可。_職業:勇者最初から,2026/02/07,
sk_049,メラストーム,呪文,炎,4,,4,ランダム,効果:敵を選ばず小さな火の玉を4連射する_職業:ひよっこ網元(★8),2026/02/07,
sk_050,ヘナトス,呪文,-,4,,-,敵1体,効果:敵1体の攻撃力を下げる_職業:魔法使い(★5),2026/02/07,
sk_051,ジバリア,呪文,土,5,,1,敵1体,効果:行動時に爆発する土属性の魔法陣を敵1体に仕掛ける_職業:盗賊(★2),2026/02/07,
sk_052,ジバリカ,呪文,土,6,,1,敵1体,効果:敵1体に土属性の魔法陣、行動時に大爆発_職業:盗賊(★4),2026/02/07,
sk_053,ジバリーナ,呪文,土,10,,1,敵1グループ,効果:敵1グループに土属性の魔法陣、行動時に大暴走_職業:盗賊(★7),2026/02/07,
sk_054,ピオラ,呪文,-,6,,-,味方ひとり,効果:仲間ひとりのすばやさをかなり上げる_職業:吟遊詩人(★1),2026/02/07,
sk_055,ピオリム,呪文,-,6,,-,味方全員,効果:仲間全員のすばやさをすこし上げる_職業:吟遊詩人(★7),2026/02/07,
sk_056,リホイミ,呪文,-,16,,-,味方ひとり,効果:仲間ひとりを9～回復しHP自動回復に_職業:羊飼い(★2),2026/02/07,
sk_057,リベホイミ,呪文,-,20,,-,味方ひとり,効果:仲間ひとりを22～回復しHP自動回復に_職業:羊飼い(★4),2026/02/07,
sk_058,キアラル,呪文,-,6,,-,味方全員,効果:仲間全員の混乱をなおす_職業:羊飼い(★4),2026/02/07,
sk_059,リベホイム,呪文,-,3,,-,味方ひとり,効果:仲間ひとりを52～回復しHP自動回復に_職業:羊飼い(★7),2026/02/07,
sk_060,ボミエ,呪文,-,8,,-,敵1体,効果:敵1体のすばやさをかなり下げる_職業:笑わせ師(★3),2026/02/07,
sk_061,ボミオス,呪文,-,5,,-,敵全体,効果:敵全体のすばやさをすこし下げる_職業:笑わせ師(★5),2026/02/07,
sk_062,ギラグレイド,呪文,炎,2,,1,敵1グループ,効果:敵1グループを地をゆるがす炎で焼き払う_職業:魔法戦士(★7),2026/02/07,
sk_063,ベホイム,呪文,-,2,,-,味方ひとり,効果:仲間ひとりのHPを164～回復する_職業:賢者(★3),2026/02/07,
sk_064,バギムーチョ,呪文,風,4,,1,ランダム,効果:極大の竜巻が敵3～6体を切り刻む_職業:賢者(★7),2026/02/07,
sk_065,ドルマ,呪文,闇,8,,1,敵1体,効果:闇のチカラで敵1体を攻撃_職業:まもの使い(★2),2026/02/07,
sk_066,ドルクマ,呪文,闇,2,,1,敵1体,効果:巨大な闇のチカラが敵1体をおそう_職業:まもの使い(★4),2026/02/07,
sk_067,ドルモーア,呪文,闇,8,,1,敵1体,効果:破滅的な闇のチカラが敵1体をおそう_職業:まもの使い(★7),2026/02/07,
sk_068,メラガイアー,呪文,炎,16,,1,敵1体,効果:巨大な火柱で敵1体を焼きつくす_職業:天地雷鳴士(★4),2026/02/07,
sk_069,マヒャデドス,呪文,氷,2,,1,敵全体,効果:敵全体を巻き込む巨大な氷の柱が敵に突きささる_職業:天地雷鳴士(★5),2026/02/07,
sk_070,イオグランデ,呪文,光,10,,1,敵全体,効果:想像を絶する爆発で敵全体をふきとばす_職業:天地雷鳴士(★7),2026/02/07,
sk_071,メドローア,呪文,-,2,,1,敵全体,効果:異属性の衝突が生む魔力爆発。反動で呪文の威力が下がる_職業:天地雷鳴士(★8),2026/02/07,
sk_072,バイシオン,呪文,-,4,,-,味方ひとり,効果:仲間ひとりの攻撃力をすこし上げる_職業:ひよっこ漁師(★6),2026/02/07,
sk_073,かえん斬り,特技,炎,4,,1,敵1体,効果:炎のチカラを剣に宿して敵1体を斬る_職業:魔法戦士(★1)ひよっこ王子(★2),2026/02/07,1.2
sk_074,いなずま斬り,特技,雷,2,,1,敵1体,効果:雷のチカラを剣に宿して敵1体を斬る_職業:ひよっこ王子(★5),2026/02/07,1.2
sk_075,しんくう斬り,特技,風,8,,1,敵1体,効果:風のチカラを剣に宿して敵1体を斬る_職業:魔法戦士(★1),2026/02/07,1.2
sk_076,せいけん突き,特技,-,48,,1,敵1体,効果:まっすぐな拳で敵1体を打ちぬく、会心で桁外れの威力_職業:武闘家(★8),2026/02/07,1.8
sk_077,ドラゴン斬り,特技,-,12,,1,敵1体,効果:ドラゴン系の敵に威力を発揮する竜殺しの剣技_職業:戦士(★7)神の兵士(★7),2026/02/07,3
sk_078,ゾンビ斬り,特技,-,5,,1,敵1体,効果:ゾンビ系の敵に威力を発揮する黄泉送りの剣_職業:戦士(★6)神の兵士(★6),2026/02/07,3
sk_079,メタル斬り,特技,-,3,,1,敵1体,効果:メタルボディにダメージを与える一撃_職業:戦士(★4)神の兵士(★4),2026/02/07,1
sk_080,とびひざげり,特技,-,5,,1,敵1体,効果:敵1体にひざげり、飛んでいる敵に威力を発揮する_職業:武闘家(★4),2026/02/07,3.5
sk_081,へんてこ斬り,特技,-,6,,1,敵1体,効果:あやしい動きで敵1体を斬りつけたまに混乱させる_職業:笑わせ師(★8),2026/02/07,
sk_082,ポイズンダガー,特技,-,6,,1,敵1体,効果:敵1体を斬りつけたまに毒にする_職業:盗賊(★1),2026/02/07,1.2
sk_083,ぬすっと斬り,特技,-,10,,1,敵1体,効果:敵1体を斬りつけ持っているモノを盗みだす_職業:盗賊(★1),2026/02/07,1
sk_084,ミラクルソード,特技,-,6,,1,敵1体,効果:敵1体を斬りつけ自らのキズを癒やす秘剣_職業:魔法戦士(★3),2026/02/07,1.5
sk_085,マッスルダンス,特技,-,8,,-,味方ひとり,効果:仲間ひとりの物理攻撃を強化するたくましい踊り_職業:踊り子(★6)ユバールの踊り手(★5),2026/02/07,2
sk_086,まわしげり,特技,-,6,,1,敵1グループ,効果:敵1グループにまわしげりをたたきこむ_職業:武闘家(★6),2026/02/07,1
sk_087,ムーンサルト,特技,-,6,,1,敵1体,効果:敵1体に宙返り。自分の魅力もすこし上げる_職業:スーパースター(★2),2026/02/07,
sk_088,もろば斬り,特技,-,4,,1,敵1体,効果:大ダメージを敵1体に与えるが自分もキズつく_職業:バトルマスター(★5),2026/02/07,3.2
sk_089,はやぶさ斬り,特技,-,18,,2,敵1体,効果:敵1体にはやぶさのごとき高速の2回攻撃_職業:バトルマスター(★4),2026/02/07,2
sk_090,つるぎのまい,特技,-,4,,6,ランダム,効果:敵1グループを選ばず斬りまくる華麗なる剣の舞_職業:勇者(★5),2026/02/07,3.6
sk_091,ばくれつけん,特技,-,6,,7,ランダム,効果:敵1グループを選ばず打ちまくるどとうの7連撃_職業:ゴッドハンド(★4),2026/02/07,3.2
sk_092,まじん斬り,特技,-,0,,1,敵1体,効果:失敗しやすいがうまく当たれば会心の一撃_職業:海賊(★2),2026/02/07,
sk_093,かみつけ,特技,-,2,,1,敵1体,効果:オオカミを呼び敵1体にかみつかせる_職業:オオカミ少年(★5),2026/02/07,1.5
sk_094,ひきさけ,特技,-,6,,1,敵1グループ,効果:オオカミを呼び敵1グループをひきさかせる_職業:オオカミ少年(★6),2026/02/07,1.2
sk_095,とおぼえ,特技,-,6,,1,ランダム,効果:オオカミを呼び相手を選ばぬ4連続の総攻撃_職業:オオカミ少年(★8),2026/02/07,
sk_096,どとうのひつじ,特技,-,0,,-,敵全体,効果:羊の群れで総攻撃、連続で使うと羊の数が増えていく_職業:羊飼い(★8),2026/02/07,
sk_097,たいあたり,特技,-,2,,1,敵1体,効果:敵1体にたいあたり、自分のHPが高いほど強くなる_職業:船乗り(★3),2026/02/07,2.5
sk_098,マトンアタック,特技,-,2,,1,敵1体,効果:羊のごとく突進、守備力が高いほど威力が上がる_職業:羊飼い(★2),2026/02/07,
sk_099,ビッグバン,特技,炎,16,,1,敵全体,効果:敵全体を大爆発でふきとばすが反動で動けなくなる_職業:ゴッドハンド(★7),2026/02/07,
sk_100,いなずま,特技,雷,10,,1,敵全体,効果:激しい稲妻を呼び寄せ敵全体に攻撃_職業:船乗り(★8),2026/02/07,
sk_101,グランドクロス,特技,風,16,,1,敵全体,効果:神の裁きが敵全体にくだされる_職業:パラディン(★8),2026/02/07,
sk_102,かまいたち,特技,風,18,,1,敵1体,効果:かまいたちを巻き起こして敵1体を切り刻む_職業:パラディン(★1),2026/02/07,
sk_103,ジゴスパーク,特技,雷,12,,1,敵1グループ,効果:敵1グループに地獄のいかずちたまにマヒさせる_職業:天地雷鳴士(★3),2026/02/07,
sk_104,ギガスラッシュ,特技,雷,8,,1,敵全体,効果:稲妻のやいばで敵全体をなぎ払う勇者の奥義_職業:勇者(★3),2026/02/07,
sk_105,マグマ,特技,炎,10,,1,敵全体,効果:敵全体をマグマの海でおおいつくす_職業:天地雷鳴士(★2),2026/02/07,
sk_106,マダンテ,呪文,-,8,,1,敵全体,効果:MPをすべて使い敵全体を滅ぼす最強の呪文_職業:賢者(★8),2026/02/07,
sk_107,岩石おとし,特技,-,12,,1,敵全体,効果:巨大な岩石をほうりなげ敵全体を攻撃_職業:バトルマスター(★6),2026/02/07,
sk_108,アルテマソード,特技,-,0,,1,敵1体,効果:敵1体に強烈な一撃を放つ剣神の最終奥義_職業:ゴッドハンド(★8),2026/02/07,
sk_109,死のおどり,特技,-,16,,1,敵全体,効果:敵全体を死へといざなう恐怖の踊り_職業:ユバールの踊り手(★8),2026/02/07,
sk_110,ひつじかぞえ歌,特技,-,6,,-,敵1グループ,効果:敵1グループを眠らせる歌、連続で歌うと成功しやすい_職業:羊飼い(★6),2026/02/07,
sk_111,ひつじのダンス,特技,-,10,,-,敵1体,効果:羊のステップで敵1体をぐっすり眠らせる_職業:羊飼い(★1),2026/02/07,
sk_112,メダパニダンス,特技,-,6,,-,敵全体,効果:敵全体を混乱させる不思議な踊り_職業:踊り子(★7)ユバールの踊り手(★7),2026/02/07,
sk_113,足ばらい,特技,-,16,,-,敵1体,効果:敵1体の足を払ってすっころばす_職業:武闘家(★2),2026/02/07,
sk_114,船上ダンス,特技,-,24,,-,自分,効果:バーストチャージしやすくなる陽気な踊り_職業:ひよっこ漁師(★5),2026/02/07,
sk_115,すいめんげり,特技,-,4,,-,敵1体,効果:水面を歩く速さで敵1体を攻撃、たまに幻惑にする_職業:船乗り(★1),2026/02/07,
sk_116,いっぱつギャグ,特技,-,4,,-,敵全体,効果:敵全体を笑わせる。魅力が高いと決まりやすい_職業:笑わせ師(★4),2026/02/07,
sk_117,くすぐりの刑,特技,-,9,,-,敵1体,効果:敵1体を笑わせてたまに状態異常への耐性を下げる_職業:笑わせ師(★7),2026/02/07,
sk_118,ほえろ,特技,-,12,,-,敵1グループ,効果:オオカミの大声で敵1グループの身をすくませる_職業:オオカミ少年(★4),2026/02/07,
sk_119,気合いため,特技,-,12,,-,自分,効果:気合いをためて次の攻撃威力を上げ、さらに必中にさせる。_職業:戦士(★1)ひよっこ王子(★3)神の兵士(★1),2026/02/07,2
sk_120,大ぼうぎょ,特技,-,12,,-,自分,効果:自分へのダメージを大幅に減らす防御の秘法_職業:パラディン(★7),2026/02/07,
sk_121,ウールガード,特技,-,3,,-,自分,効果:羊毛で身をつつみ守備力と氷耐性をかなり上げる_職業:羊飼い(★3),2026/02/07,
sk_122,ツッコミ,特技,-,4,,-,味方ひとり,効果:マヒ、眠り、魅了、混乱、幻惑を解除。成功で魅力が上がる_職業:笑わせ師(★2),2026/02/07,
sk_123,ボケ,特技,-,10,,-,自分,効果:すっとぼけて物理攻撃をかわし成功で魅力が上がる_職業:笑わせ師(★1),2026/02/07,
sk_124,ノアのはこぶね,特技,-,10,,-,味方ひとり,効果:仲間ひとりへの攻撃を一度だけ防ぐ_職業:ひよっこ漁師(★8),2026/02/07,
sk_125,におう立ち,特技,-,8,,-,自分,効果:敵の前に立ちはだかり仲間の盾となる_職業:パラディン(★3),2026/02/07,
sk_126,まものならし,特技,-,16,,-,敵1体,効果:愛情たっぷりの頬ずりで敵1体を魅了する_職業:まもの使い(★1),2026/02/07,
sk_127,やすらぎの歌,特技,-,12,,-,味方全員,効果:バトルメンバーのHPを20~回復する_職業:吟遊詩人(★2)ユバールの踊り手(★4),2026/02/07,
sk_128,ハッスルダンス,特技,-,8,,-,味方全員,効果:バトルメンバーのHPを70~回復する_職業:スーパースター(★5),2026/02/07,
sk_129,メガザルダンス,特技,-,8,,-,味方全員,効果:命をかけた踊りで仲間を生き返らせる、失敗する時もある_職業:ユバールの踊り手(★8),2026/02/07,
sk_130,せいしんとういつ,特技,-,0,,-,自分,効果:雑念を払い除け、次の特技を2回連続で行う_職業:武闘家(★7),2026/02/07,
sk_131,ふとうふくつ,特技,-,18,,-,自分,効果:状態異常を払いのけ、攻撃力をかなり上げる_職業:武闘家(★3)ひよっこ王子(★4),2026/02/07,
sk_132,渾身斬り,特技,-,40,,1,敵1体,効果:頭上から敵1体を斬りつけ大ダメージ_職業:バトルマスター(★3)ひよっこ王子(★8),2026/02/07,2.3
sk_133,さみだれ斬り,特技,-,4,,4,ランダム,効果:敵を選ばず切り刻む超速の4回攻撃_職業:戦士(★5)ひよっこ王子(★7)神の兵士(★5),2026/02/07,1.8
sk_134,すいりゅう斬り,特技,-,0,,1,敵1体,効果:物質系の敵に強い船守の剣技。たまに雷耐性を下げる_職業:ひよっこ漁師(★4),2026/02/07,1.2
sk_135,シールドアタック,特技,-,0,,1,敵1体,効果:攻撃から身を守りつつ敵1体を攻撃する_職業:戦士(★2)神の兵士(★2),2026/02/07,0.7
sk_136,やいばくだき,特技,-,4,,1,敵1体,効果:敵1体をたたっ斬りたまに攻撃力を下げる_職業:戦士(★3)神の兵士(★3),2026/02/07,1.2
sk_137,天下無双,特技,-,8,,6,敵1体,効果:敵1体に天下無双の6回攻撃_職業:戦士(★8)神の兵士(★8),2026/02/07,2.6
sk_138,とうこん討ち,特技,-,2,,1,敵1体,効果:敵1体を攻撃し自分には闘魂を注入、攻撃力を上げる_職業:武闘家(★1),2026/02/07,1
sk_139,うけながしのかまえ,特技,-,8,,-,敵1体,効果:物理攻撃をいなし敵を選ばず1体にダメージ_職業:武闘家(★5),2026/02/07,
sk_140,魔力かくせい,特技,-,16,,-,自分,効果:自分が唱える攻撃呪文の威力を大幅に上げる_職業:魔法使い(★7),2026/02/07,
sk_141,おはらい,特技,-,2,,-,味方ひとり,効果:仲間ひとりの呪いを解く_職業:僧侶(★6),2026/02/07,
sk_142,天使の守り,特技,-,10,,-,自分,効果:ちからつきても確実に生き返る天使の加護を与える_職業:僧侶(★8),2026/02/07,
sk_143,みわくのおどり,特技,-,2,,-,敵1体,効果:敵1体をうっとりさせる魅惑の踊り_職業:踊り子(★1)ユバールの踊り手(★1),2026/02/07,
sk_144,タップダンス,特技,-,4,,-,自分,効果:華麗なステップで自分の身かわし率を大幅に上げる_職業:踊り子(★1)ユバールの踊り手(★1),2026/02/07,
sk_145,ポワゾンキッス,特技,-,4,,1,敵1体,効果:敵1体に毒入り投げキッス、威力は魅力しだい_職業:踊り子(★2)ユバールの踊り手(★2),2026/02/07,
sk_146,バックダンス,特技,-,2,,-,味方ひとり,効果:仲間ひとりをひきたてて狙われやすくする_職業:踊り子(★3)ユバールの踊り手(★3),2026/02/07,
sk_147,たたかいのまい,特技,-,8,,-,味方全員,効果:仲間全員を鼓舞し攻撃力をすこし上げる_職業:踊り子(★4)ユバールの踊り手(★4),2026/02/07,
sk_148,MPパサー,特技,-,48,,-,味方ひとり,効果:自分のMPを仲間ひとりに分けあたえる_職業:踊り子(★5)ユバールの踊り手(★6),2026/02/07,
sk_149,ローズタイフーン,特技,-,12,,1,敵全体,効果:バラ色の旋風で敵全体を魅了する_職業:踊り子(★8)ユバールの踊り手(★5),2026/02/07,
sk_150,タナトスハント,特技,-,5,,1,敵1体,効果:毒やマヒの敵に通常攻撃の6倍の絶大ダメージ！_職業:盗賊(★3),2026/02/07,6.2
sk_151,バタフライダガー,特技,-,3,,1,敵1体,効果:敵1体を斬りつけたまにマヒさせる_職業:盗賊(★5),2026/02/07,1.2
sk_152,ヒュプノスハント,特技,-,5,,1,敵1体,効果:眠りや混乱の敵に通常攻撃の6倍の絶大ダメージ！_職業:盗賊(★6),2026/02/07,6.2
sk_153,アサシンアタック,特技,-,6,,1,敵1体,効果:敵1体の急所をねらい攻撃、たまに即死させる_職業:盗賊(★8),2026/02/07,1
sk_154,風の旋律,特技,-,6,,-,味方全員,効果:仲間全員の風属性ダメージを軽減する_職業:吟遊詩人(★2),2026/02/07,
sk_155,シャインスコール,特技,光,10,,1,敵全体,効果:光のシャワーで敵全体を攻撃し呪文耐性を下げる_職業:吟遊詩人(★3),2026/02/07,
sk_156,光の旋律,特技,-,6,,-,味方全員,効果:仲間全員の光属性ダメージを軽減する_職業:吟遊詩人(★3),2026/02/07,
sk_157,覚醒のアリア,特技,-,8,,-,味方全員,効果:仲間全員の攻撃呪文の威力をすこし上げる_職業:吟遊詩人(★4),2026/02/07,
sk_158,炎の旋律,特技,-,6,,-,味方全員,効果:仲間全員の炎属性ダメージを軽減する_職業:吟遊詩人(★5),2026/02/07,
sk_159,氷の旋律,特技,-,6,,-,味方全員,効果:仲間全員の氷属性ダメージを軽減する_職業:吟遊詩人(★5),2026/02/07,
sk_160,ディバインスペル,特技,-,4,,-,敵1体,効果:敵1体の呪文への抵抗力をかなり弱める_職業:吟遊詩人(★6),2026/02/07,
sk_161,天使の歌声,特技,-,18,,-,味方ひとり,効果:仲間ひとりを蘇生しMPも回復する歌声、失敗する時もある_職業:吟遊詩人(★8),2026/02/07,
sk_162,かぶと割り,特技,-,4,,1,敵1体,効果:頭上から敵1体を切りつけ守備力も下げる_職業:船乗り(★5)ひよっこ王子(★6),2026/02/07,1.2
sk_163,じひびき,特技,-,6,,1,敵全体,効果:強く大地をゆらし敵全体を攻撃、たまにころばせる_職業:船乗り(★6),2026/02/07,
sk_164,ねる,特技,-,0,,-,自分,効果:ぐっすり眠って毒と幻惑をなおしHPとMPも回復_職業:羊飼い(★5)オオカミ少年(★7),2026/02/07,
sk_165,ヒップアタック,特技,-,2,,1,敵1体,効果:大きなヒップで突撃。魅力が高いと威力も上がる_職業:笑わせ師(★1),2026/02/07,
sk_166,でしゃばる,特技,-,6,,-,自分,効果:仲間への悪い効果をすべて引き受ける_職業:笑わせ師(★5),2026/02/07,
sk_167,ノリツッコミ,特技,-,6,,-,自分,効果:自分にかかった悪い効果を敵にお返しする_職業:笑わせ師(★6),2026/02/07,
sk_168,無心こうげき,特技,-,0,,1,ランダム,効果:心を無にして敵を選ばず1体を斬りつける_職業:バトルマスター(★1),2026/02/07,1.8
sk_169,しっぷう斬り,特技,-,2,,1,敵1体,効果:敵1体を切り裂き自分のすばやさをすこし上げる_職業:バトルマスター(★2),2026/02/07,0.8
sk_170,背水けん,特技,-,2,,1,敵1体,効果:HPが低いほど威力が増す起死回生の一撃_職業:バトルマスター(★7),2026/02/07,5
sk_171,全身全霊斬り,特技,-,16,,1,敵1体,効果:フルパワーで敵1体を斬りつけ大ダメージ_職業:バトルマスター(★8),2026/02/07,3.1
sk_172,フォースブレイク,特技,-,10,,1,敵1体,効果:通常攻撃の2倍の威力を持つ魔力弾。全属性耐性を下げる_職業:魔法戦士(★4),2026/02/07,
sk_173,灼熱斬,特技,炎,16,,1,敵全体,効果:しゃくねつの剣で敵全体を斬る必殺剣_職業:魔法戦士(★6),2026/02/07,
sk_174,氷結らんげき,特技,氷,18,,4,敵1体,効果:氷結した剣で敵1体を4回斬りつける_職業:魔法戦士(★8),2026/02/07,2.9
sk_175,しんぴのさとり,特技,-,12,,-,自分,効果:唱える呪文の威力と回復力をすこし上げる_職業:賢者(★6),2026/02/07,
sk_176,名乗り,特技,-,8,,-,自分,効果:バーストチャージしやすくなり魅力もすこし上がる_職業:スーパースター(★1),2026/02/07,
sk_177,バトンタッチ,特技,-,10,,-,味方ひとり,効果:仲間ひとりに順番をゆずる。連続では使えない_職業:スーパースター(★3),2026/02/07,
sk_178,キラキラポーン,特技,-,8,,-,味方ひとり,効果:キラキラパワーで悪い効果から仲間ひとりを守る_職業:スーパースター(★3),2026/02/07,
sk_179,キラージャグリング,特技,-,12,,,ランダム,効果:敵を選ばず玉を投げつけてたまに混乱させる_職業:スーパースター(★6),2026/02/07,
sk_180,ゴールドシャワー,特技,-,0,,1,敵全体,効果:1000G使って敵全体にセレブなダメージ_職業:スーパースター(★7),2026/02/07,
sk_181,ミラクルムーン,特技,-,16,,5,ランダム,効果:敵を選ばずに華麗に5回攻撃し自分も回復_職業:スーパースター(★8),2026/02/07,
sk_182,スライム呼び,特技,-,6,,-,味方ひとり,効果:スライム系の中から人気者の仲間を呼びよせる_職業:まもの使い(★1),2026/02/07,
sk_183,ゾンビ呼び,特技,-,10,,-,味方ひとり,効果:ゾンビ系の中から気がきく仲間を呼びよせる_職業:まもの使い(★3),2026/02/07,
