boss_id,name,火,氷,風,土,雷,光,闇,攻撃ダウン,守備ダウン,すばやさダウン,ニフラム,即死,眠り,混乱,魅了,マヒ,毒,幻惑,転び,笑い,うっとり,みとれ
boss_021,グラコス,1,3,2,1,1,3,3,3,4,4,4,4,4,4,4,3,2,3,4,4,4,4
boss_022,キングスライム,2,1,2,2,1,2,2,2,2,2,4,4,3,4,3,3,1,3,2,3,3,2
boss_023,スカイドラゴン,3,1,2,3,2,3,2,2,2,2,4,4,3,3,4,3,2,3,4,4,4,4
boss_024,グラコス5世,1,3,2,1,1,3,3,3,4,4,4,4,4,4,4,3,2,3,4,4,4,4
boss_025,メディルの使い,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
boss_026,ゼッペル,2,3,3,1,2,2,3,3,3,3,4,4,4,4,4,4,1,2,4,4,4,4
boss_027,あめふらし,1,3,3,1,3,1,2,3,2,2,4,4,4,3,4,3,3,3,2,4,4,4
boss_028,ボトク,3,1,3,1,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4
boss_029,やみのまじん,2,2,3,3,2,2,2,3,3,3,4,4,4,4,4,4,4,4,4,3,4,4
boss_030A,ヘルクラウダー,2,2,3,2,2,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
boss_030B,ベビークラウド,1,3,2,2,2,1,3,2,2,2,4,4,3,3,3,3,2,3,4,1,3,3
boss_031A,ガマデウス,2,3,2,1,1,2,2,2,2,2,4,4,4,3,3,4,4,4,3,3,3,3
boss_031B,だいおうガマ,2,3,2,1,1,2,2,2,2,2,4,3,3,3,3,3,2,2,3,4,4,4
boss_031C,ポイズントード,2,3,2,1,1,2,2,2,2,2,4,4,3,3,3,3,2,2,3,4,4,4
boss_032,パリクナジャ,1,3,3,2,3,2,2,3,3,3,4,4,4,4,4,3,3,3,4,4,4,4
boss_033,タイムマスター,3,2,3,2,2,3,2,2,2,2,4,4,4,4,4,4,4,2,4,4,4,4
boss_034A,オルゴデミーラ1回目第一形態,3,1,2,3,2,3,2,3,3,2,4,4,3,4,4,4,4,4,3,4,4,4
boss_034B,オルゴデミーラ1回目第ニ形態,2,1,1,2,2,3,2,4,1,2,4,4,4,4,4,4,3,3,4,4,4,4
boss_035,ボンドゥル,2,2,3,3,1,1,3,2,2,2,4,4,2,3,3,3,2,2,4,4,4,4
boss_036,炎の精霊（1回目）,3,1,2,2,2,3,2,2,2,2,4,4,4,4,4,4,4,2,4,4,4,4
boss_037,ネンガル,1,1,3,1,1,1,1,3,3,3,4,4,4,4,4,3,4,4,3,3,4,4
boss_038A,アイロス,1,3,3,3,1,3,3,3,3,3,4,4,3,4,4,3,3,3,3,4,3,3
boss_038B,ヘルバトラー,3,1,3,2,1,3,3,2,2,2,4,4,1,3,3,3,3,3,3,4,3,2
boss_039,ボルンガ,1,3,2,2,1,2,2,2,2,2,4,4,4,4,4,4,2,4,4,4,4,2
boss_040A,ヘルバオム,1,3,3,1,3,3,3,2,2,2,4,4,4,4,4,4,4,3,4,4,4,4
boss_040B,ヘルバオムのねっこ,1,3,3,1,3,1,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4
boss_041,チビィ,1,2,2,2,2,1,2,1,1,2,4,4,1,3,2,3,4,3,2,4,3,4
boss_042A,オルゴデミーラ2回目第一形態,2,1,1,2,2,3,2,4,1,2,4,4,4,4,3,4,3,3,4,4,4,4
boss_042B,オルゴデミーラ2回目第ニ形態,3,1,2,3,2,3,2,3,3,2,4,4,3,4,4,4,4,4,3,4,4,4
boss_042C,オルゴデミーラ2回目第三形態,1,2,2,3,2,1,3,3,2,3,4,4,4,4,4,3,4,3,3,4,4,4
boss_042D,オルゴデミーラ2回目最終形態,1,2,2,3,2,1,3,3,3,2,4,4,4,4,4,4,4,4,4,4,4,4
