medal_id,era,area,location,how,notes,last_verified
medal_033,現代,ダーマ 山賊のアジト,牢屋の宝箱,調べる,※さんぞくのカギが必要,2026/02/04
medal_034,現代,ダーマ メザレの村,宝物庫の宝箱,調べる,,2026/02/04
medal_035,過去,砂漠の村,地下牢のツボ,調べる,※セト撃破後に入手可能,2026/02/04
medal_036,現代,砂漠の城,城の裏のツボ,調べる,,2026/02/04
medal_037,過去,砂漠の女王の部屋,隠し部屋の宝箱,調べる,※奥の部屋で右の像を調べると隠し部屋につながる,2026/02/04
medal_038,過去,砂漠 魔王像,東側の宝箱,調べる,,2026/02/04
medal_039,現代,ユバール 化石の発掘現場,階段付近のツボ,調べる,,2026/02/04
medal_040,現代,ユバール族の休息地,北西のテント付近のツボ,調べる,※友好の書状を渡した後に入手可能,2026/02/04
medal_041,過去,ハーメリアの町,水路の先にあるツボ,調べる,※イカダに乗って入手,2026/02/04
medal_042,過去,ハーメリア周辺,山奥の塔付近のキラキラ,調べる,,2026/02/04
medal_043,過去,ハーメリアの町,宝物庫のツボ,調べる,,2026/02/04
medal_044,現代,ダーマ メザレの村,地下倉庫の宝箱,調べる,※グラコス撃破後に入手可能,2026/02/04
medal_045,現代,世界一高い塔 神の兵のほこら,ほこら内のツボ,調べる,,2026/02/04
medal_046,現代,オルフィー ブルジオの屋敷,2階の宝箱,調べる,※まほうのかぎが必要,2026/02/04
medal_047,現代,エスタード島 グランエスタード城下町,北の民家2階の宝箱,調べる,※まほうのカギが必要,2026/02/04
medal_048,現代,ユバール 化石の発掘現場,テント内の宝箱,調べる,※まほうのカギが必要,2026/02/04
medal_049,現代,砂漠 大地の精霊像,屋上のキラキラ,調べる,,2026/02/04
medal_050,現代,ハーメリア 山奥の塔,5階のツボ,調べる,,2026/02/04
medal_051,現代,世界一高い塔,3階中央の宝箱,調べる,,2026/02/04
medal_052,現代,世界一高い塔,7階中央の宝箱,調べる,,2026/02/04
medal_053,現代,ユバール 化石の発掘現場,地下1階の宝箱,調べる,,2026/02/04
medal_054,現代,グリンフレーク メモリアリーフ西の廃墟,西側のツボ,調べる,,2026/02/04
medal_055,過去,グリンフレーク メモリアリーフ北の山道,ほら穴内のツボ,調べる,,2026/02/04
medal_056,過去,マーディラス ラグラーズ城,井戸内のキラキラ,調べる,,2026/02/04
medal_057,現代,マーディラス 大神殿,地下の隠し部屋の宝箱,調べる,※十字の仕掛けの先,2026/02/04
medal_058,現代,レブレサックの村,北西の墓石を調べる,調べる,※5枚同時に入手,2026/02/04
medal_059,現代,レブレサックの村,北西の墓石を調べる,調べる,※5枚同時に入手,2026/02/04
medal_060,現代,レブレサックの村,北西の墓石を調べる,調べる,※5枚同時に入手,2026/02/04
medal_061,現代,レブレサックの村,北西の墓石を調べる,調べる,※5枚同時に入手,2026/02/04
medal_062,現代,レブレサックの村,北西の墓石を調べる,調べる,※5枚同時に入手,2026/02/04
medal_063,過去,聖風の谷,建物上のタル,調べる,※上から飛び降りて入手,2026/02/04
medal_064,過去,聖風の谷 守り人の集落,井戸のタンス,調べる,,2026/02/04
medal_065,過去,コスタール 大灯台,3階バルコニーの宝箱,調べる,,2026/02/04
medal_066,現代,ドワーフの洞くつ,3階のキラキラ,調べる,,2026/02/04
medal_067,現代,コスタールの国,本棚の先の宝箱,調べる,,2026/02/04
medal_068,過去,聖なる祭壇,祭壇下のキラキラ,調べる,,2026/02/04
medal_069,現代,ハーメリア周辺,山奥の塔の北東のキラキラ,調べる,※飛行石解放後に入手可能,2026/02/04
medal_070,現代,神殿クリア後 クリスタルパレス,地下牢のツボ,調べる,※さいごのカギが必要,2026/02/04
medal_071,現代,エスタード島 グランエスタード城,宝物庫の宝箱,調べる,※さいごのカギが必要,2026/02/04
medal_072,現代,エスタード島 グランエスタード城,地下牢のツボ,調べる,※さいごのカギが必要,2026/02/04
medal_073,現代,エスタード島 フィッシュベルの村,地下室のツボ,調べる,※さいごのカギが必要,2026/02/04
medal_074,現代,コスタール城,王座の間の宝箱,調べる,,2026/02/04
medal_075,現代,コスタール 大灯台,頂上のキラキラ,調べる,,2026/02/04
medal_076,現代,エンゴウの村,村長の家2階の宝箱,調べる,,2026/02/04
medal_077,現代,エンゴウ 炎の山,1階の宝箱,調べる,,2026/02/04
medal_078,現代,炎の山(異変後) マール・デ・ドラゴーン,地下1階のネコと話す,調べる,,2026/02/04
medal_079,現代,砂漠の村,族長の家の宝箱,調べる,,2026/02/04
medal_080,現代,砂漠の女王の部屋,女王の部屋の奥の宝箱,調べる,,2026/02/04
medal_081,現代,砂漠 地底ピラミッド,地下1階の右上の部屋の宝箱,調べる,,2026/02/04
medal_082,現代,聖風の谷,族長の家のタンス,調べる,,2026/02/04
medal_083,現代,聖風の谷 風の塔,6階の宝箱,調べる,,2026/02/04
medal_084,現代,聖風の谷 始祖たちの村,教会2階のツボ,調べる,,2026/02/04
medal_085,現代,ハーメリア 海底都市,グラコス近くの宝箱,調べる,,2026/02/04
medal_086,現代,神殿クリア後 マーディラス城,北東の塔の地下牢のツボ,調べる,,2026/02/04
medal_087,現代,海底王の家,地下1階のタル,調べる,,2026/02/04
medal_088,過去,ルーメンの洞くつ,地下3階の宝箱,調べる,,2026/02/04
medal_089,現代,ルーメンの町,井戸付近のキラキラ,調べる,,2026/02/04
medal_090,現代,木立の丘,穴を2回調べる,調べる,,2026/02/04
medal_091,過去,野ざらしの地,北西のタル,調べる,,2026/02/04
medal_092,現代,ダークパレス,6階バルコニーのキラキラ,調べる,,2026/02/04
medal_093,現代,ダークパレス 業火の洞くつ,中央下の宝箱,調べる,,2026/02/04
medal_094,現代,ダークパレス 死地の洞くつ,南東の宝箱,調べる,,2026/02/04
medal_095,現代,謎の異世界,水辺のキラキラ,調べる,※トロルボンバーを倒して入手,2026/02/04
medal_096,現代,謎の異世界,3階最奥の部屋のタンス,調べる,,2026/02/04
medal_097,現代,謎の異世界,神さまの後ろのキラキラ,調べる,,2026/02/04
medal_098,現代,さらなる異世界,内観(水)の北側の宝箱,調べる,,2026/02/04
medal_099,現代,さらなる異世界,内観（牢獄）の南西の宝箱,調べる,,2026/02/04
medal_100,現代,さらなる異世界,神さまの家のツボ,調べる,,2026/02/04
