boss_id,name,location,story_id,phase_count,hp,atk,def,agi,actions_summary,drop_items,exp,gold,notes,last_verified
boss_022,キングスライム,現代山奥の塔,,1,670,150,90,60,通常攻撃・たいあたり・のしかかり・ベホイミ,命のきのみ,,,,2026-02-09
boss_023,スカイドラゴン,現代山奥の塔,,1,2200,200,95,100,通常攻撃・かみつき・のしかかり・かえんいき,,,,,2026-02-09
boss_024,グラコス5世,現代海底都市,,1,3200,186,85,92,通常攻撃・もうどくのきり・武器を振り回す・かみつき・こおりのいき・ヒャダルコ,,2060,560,,2026-02-09
boss_025,メディルの使い,過去マーディラス城,,1,2100,152,78,75,通常攻撃・マホカンタ・ラリホーマ・バギグロス・メラミ,,1997,340,,2026-02-09
boss_026,ゼッペル,過去マーディラス城,,1,3600,166,95,82,通常攻撃・マジックバリア・スカラ・こおりつくいき・ベギラゴン・メラゾーマ,,2200,660,1回目は負けイベント（勝てません）,2026-02-09
boss_027,あめふらし,過去グリンフレークの町,,1,2000,148,70,75,通常攻撃・ベホイミ・なめまわし・つめたいいき,,0,0,,2026-02-09
boss_028,ボトク,過去魔物の岩山,,1,3200,228,120,130,通常攻撃・バギマ・バギグロス・はげしいほのお・しゃくねつ・もうどくのきり・あやしいきり,,0,0,,2026-02-09
boss_029,やみのまじん,過去黒霧の迷路,,1,2700,170,92,86,通常攻撃・バギマ・ラリホー,,,,,2026-02-09
boss_030A,ヘルクラウダー,過去リファ族の神殿,,1,4200,180,95,96,通常攻撃・かまいたち・なかまを呼ぶ・しんくうは・はげしいイナズマ,,,,なかまを呼ぶでベビークラウドを2体出現,2026-02-09
boss_030B,ベビークラウド,過去リファ族の神殿,,2,350,103,85,94,通常攻撃・バギマ,,,,なかまを呼ぶで出現,2026-02-09
boss_031A,ガマデウス,過去ドワーフ族の洞くつ,,1,3200,170,100,95,通常攻撃・こおりのいき・メイルストロム・もうどくのきり・ザオリク,,0,0,,2026-02-09
boss_031B,だいおうガマ,過去ドワーフ族の洞くつ,,1,840,160,90,135,通常攻撃・どく攻撃・やけつくいき,,,,,2026-02-09
boss_031C,ポイズントード,過去ドワーフ族の洞くつ,,1,1080,160,140,85,通常攻撃・はげしいほのお・ラリホーマ・ルカナンの歌,,,,,2026-02-09
boss_032,パリクナジャ,過去大灯台,,1,5500,194,105,110,通常攻撃・じめんをうちならす・バイキルト,ふしぎな石版・黒,,,,2026-02-09
boss_033,タイムマスター,魔空間の神殿,,1,4600,210,130,110,通常攻撃・メラミ・ザオリク・マジックバリア・時を止める,,,,,2026-02-09
boss_034A,オルゴデミーラ1回目第一形態,魔空間の神殿,,1,4300,186,177,113,通常攻撃・念じボール・あやしいひとみ・メラゾーマ・かまいたち・マグマ・いてつくはどう・へげしいいなずま,,,,2形態あり、連戦,2026-02-09
boss_034B,オルゴデミーラ1回目第ニ形態,魔空間の神殿,,1,4200,258,102,96,通常攻撃・しんくうは・はげしいほのお・こおりのつくいき・するどいとげ・いてつくはどう・おぞましいおたけび,,,,2形態あり、連戦,2026-02-09
boss_035,ボンドゥル,現代大灯台,,1,1240,194,98,150,通常攻撃・マホトーン・はげしいほのお,,,,,2026-02-09
boss_036,炎の精霊（1回目）,現代炎の山,,1,5000,270,129,140,通常攻撃・メラゾーマ・おたけび・はげしいほのお・マグマ呼び出し,,,,,2026-02-09
boss_037,ネンガル,風の迷宮,,1,15200,258,3,99,通常攻撃・たいあたり・痛恨の一撃・バイキルト・つるぎのまい,,,,,2026-02-09
boss_038A,アイロス,過去野ざらしの地,,1,4400,278,155,180,通常攻撃・はげしいほのお・ドルマドン・バギムーチョ・呪い・ザキ・ザラキ,,,,同時出現,2026-02-09
boss_038B,ヘルバトラー,過去野ざらしの地,,2,2475,258,158,134,通常攻撃・メラミ・あんこくのきり・しゃくねつのほのお,,,,同時出現,2026-02-09
boss_039,ボルンガ,過去ルーメンの町,,1,12000,330,160,190,通常攻撃・ちからため・ふみつける・痛恨の一撃,,,,,2026-02-09
boss_040A,ヘルバオム,過去ルーメンの町,,1,5800,286,175,180,通常攻撃・マホトーン・もうどくのきり・あまいいき・なかまを呼ぶ,,,,同時出現,2026-02-09
boss_040B,ヘルバオムのねっこ,過去ルーメンの町,,2,2400,252,200,220,通常攻撃,,,,同時出現,2026-02-09
boss_041,チビィ,過去ルーメンの町,,1,7200,312,300,122,通常攻撃・あまいいき,,,,,2026-02-09
boss_042A,オルゴデミーラ2回目第一形態,ダークパレス,,1,7700,418,242,106,ずつき・いてつくはどう・はげしいほのお・こごえるふぶき・しゃくねつのほのお,,,,連戦,2026-02-09
boss_042B,オルゴデミーラ2回目第ニ形態,ダークパレス,,1,8000,392,327,145,2つのボールで攻撃・いてつくはどう・もうさかるほのお・メラゾーマ・イオナズン,,,,連戦,2026-02-09
boss_042C,オルゴデミーラ2回目第三形態,ダークパレス,,1,8500,435,285,116,通常攻撃・マグマ・たたきつけ・もうどくのきり・おたけび・呪い,,,,連戦,2026-02-09
boss_042D,オルゴデミーラ2回目最終形態,ダークパレス,,1,11500,400,325,45,肉片を飛ばす（ベロドムを呼ぶ）・マジックバリア・いてつくはどう・マホトラ・マダンテ,,,,連戦,2026-02-09
boss_043,かみさま,謎の異世界,,1,16000,587,220,196,通常攻撃・メラガイアー・マヒャドデス・ジバリーナ・かまいたち・しんくうは・ジゴスパーク・あやしいひとみ・いっぱつギャグ・ステテコダンス・れんごく火炎・いてつく冷気・いてつくはどう,,,,クリア後,2026-03-08
boss_044,ダースドラゴン,さらなる異世界,,1,12000,630,360,350,通常攻撃・痛恨の一撃・メラガイアー・ラリホーマ・転び攻撃・炎の咆哮・はげしいほのお・しゃくねつ,,,,クリア後,2026-03-08
boss_045,マントゴーア,さらなる異世界,,1,14000,630,390,280,通常攻撃・バギグロス・バギムーチョ・マホカンタ・するどいツメ・しんくは・すてみのかまえ・風の咆哮・悪魔の吐息,,,,クリア後,2026-03-08
boss_046,アトラス,さらなる異世界,,1,14500,790,300,80,通常攻撃・痛恨の一撃・ランドインパクト・大地の怒り・かぶと割り・大地の咆哮,,,,クリア後,2026-03-08
boss_047,シーバーン,さらなる異世界,,1,12000,565,320,340,痛恨の一撃・マヒャド・マヒャデドス・ディバインスペル・おぞましいおたけび・氷の咆哮・こごえるふぶき・いてつく冷気,,,,クリア後,2026-03-08
boss_048A,炎の精霊2回目,さらなる異世界,,1,7000,750,320,320,通常攻撃・メラゾーマ・メラガイアー・ひばしら・おたけび・しゃくねつ・れんごく火炎,,,,クリア後、同時出現,2026-03-08
boss_048B,大地の精霊1回目,さらなる異世界,,1,8000,600,600,200,通常攻撃・痛恨の一撃・ジバリーナ・におう立ち・岩石おとし・じわれ,,,,クリア後、同時出現,2026-03-08
boss_048C,水の精霊1回目,さらなる異世界,,1,6800,440,300,150,通常攻撃・マヒャド・マヒャデドス・マジックバリア・さざなみのうた・やすらぎの歌・いてつくはどう（頻度高い）,,,,クリア後、同時出現,2026-03-08
boss_048D,風の精霊1回目,さらなる異世界,,1,6000,460,290,380,通常攻撃・バギグロス・バギムーチョ・マホカンタ・かまいたち・しんくうは,,,,クリア後、同時出現,2026-03-08
boss_049A,かみさま2回目,さらなる異世界,,1,10000,642,462,260,"通常攻撃・様子をうかがう・いっぱつギャグ・かまいたち
※バースト後、4精霊倒れたら引き継ぐ（残りHP0になるまで継続）",,,,クリア後、同時出現,2026-03-08
boss_049B,炎の精霊3回目,さらなる異世界,,1,7000,750,320,320,通常攻撃・メラゾーマ・メラガイアー・ひばしら・おたけび・しゃくねつ・れんごく火炎・ザオリク,,,,クリア後、同時出現,2026-03-08
boss_049C,大地の精霊2回目,さらなる異世界,,1,8000,600,600,200,通常攻撃・痛恨の一撃・ジバリーナ・におう立ち・岩石おとし・じわれ・ザオリク,,,,クリア後、同時出現,2026-03-08
boss_049D,水の精霊2回目,さらなる異世界,,1,6800,440,300,150,通常攻撃・マヒャド・マヒャデドス・マジックバリア・さざなみのうた・やすらぎの歌・いてつくはどう・ザオリク,,,,クリア後、同時出現,2026-03-08
boss_049E,風の精霊2回目,さらなる異世界,,1,6000,460,290,380,通常攻撃・バギグロス・バギムーチョ・マホカンタ・かまいたち・しんくうは・ザオリク,,,,クリア後、同時出現,2026-03-08
