No,レベル,キャラID,HP,MP,ちから,みのまもり,攻撃魔力,回復魔力,素早さ,きようさ,魅力,経験値,次レベル
LV33_ch_001,33,ch_001,228,180,91,36,111,118,79,123,85,164942,17876
LV34_ch_001,34,ch_001,236,186,94,37,114,122,82,127,90,182818,19170
LV35_ch_001,35,ch_001,244,192,98,38,118,125,85,130,95,201988,20515
LV36_ch_001,36,ch_001,252,198,101,39,122,129,88,134,100,222503,21913
LV37_ch_001,37,ch_001,260,204,105,40,126,132,91,138,105,244416,23364
LV38_ch_001,38,ch_001,268,210,108,42,129,136,93,1391,110,267780,24869
LV39_ch_001,39,ch_001,276,216,112,43,133,139,96,145,115,292649,26427
LV40_ch_001,40,ch_001,284,223,115,44,137,143,99,148,120,319076,28040
LV41_ch_001,41,ch_001,292,229,118,46,141,146,102,152,123,347116,29708
LV42_ch_001,42,ch_001,299,231,122,47,144,150,105,155,127,376824,31432
LV43_ch_001,43,ch_001,307,236,125,48,148,153,108,159,130,408256,33211
LV44_ch_001,44,ch_001,315,241,127,50,152,157,111,163,134,441467,35046
LV45_ch_001,45,ch_001,323,246,133,51,156,160,114,166,138,476513,36939
LV46_ch_001,46,ch_001,331,250,137,53,160,164,117,170,141,513452,38888
LV47_ch_001,47,ch_001,339,255,140,54,163,167,119,173,145,552340,40895
LV48_ch_001,48,ch_001,347,260,144,55,167,171,122,177,148,593235,42961
LV49_ch_001,49,ch_001,355,265,237,57,171,174,125,181,152,636196,45084
LV50_ch_001,50,ch_001,363,270,152,58,175,178,128,184,156,681280,
LV51_ch_001,51,ch_001,,,,,,,,,,,
LV52_ch_001,52,ch_001,,,,,,,,,,,
LV53_ch_001,53,ch_001,,,,,,,,,,,
LV54_ch_001,54,ch_001,,,,,,,,,,,
LV55_ch_001,55,ch_001,,,,,,,,,,,
LV56_ch_001,56,ch_001,,,,,,,,,,,
LV57_ch_001,57,ch_001,,,,,,,,,,,
LV58_ch_001,58,ch_001,,,,,,,,,,,
LV59_ch_001,59,ch_001,,,,,,,,,,,
LV60_ch_001,60,ch_001,,,,,,,,,,,
LV61_ch_001,61,ch_001,,,,,,,,,,,
LV62_ch_001,62,ch_001,,,,,,,,,,,
LV63_ch_001,63,ch_001,,,,,,,,,,,
LV64_ch_001,64,ch_001,,,,,,,,,,,
LV65_ch_001,65,ch_001,,,,,,,,,,,
LV66_ch_001,66,ch_001,,,,,,,,,,,
LV67_ch_001,67,ch_001,,,,,,,,,,,
LV68_ch_001,68,ch_001,,,,,,,,,,,
LV69_ch_001,69,ch_001,,,,,,,,,,,
LV70_ch_001,70,ch_001,,,,,,,,,,,
LV71_ch_001,71,ch_001,,,,,,,,,,,
LV72_ch_001,72,ch_001,,,,,,,,,,,
LV73_ch_001,73,ch_001,,,,,,,,,,,
LV74_ch_001,74,ch_001,,,,,,,,,,,
LV75_ch_001,75,ch_001,,,,,,,,,,,
LV76_ch_001,76,ch_001,,,,,,,,,,,
LV77_ch_001,77,ch_001,,,,,,,,,,,
LV78_ch_001,78,ch_001,,,,,,,,,,,
LV79_ch_001,79,ch_001,,,,,,,,,,,
LV80_ch_001,80,ch_001,,,,,,,,,,,
LV81_ch_001,81,ch_001,,,,,,,,,,,
LV82_ch_001,82,ch_001,,,,,,,,,,,
LV83_ch_001,83,ch_001,,,,,,,,,,,
LV84_ch_001,84,ch_001,,,,,,,,,,,
LV85_ch_001,85,ch_001,,,,,,,,,,,
LV86_ch_001,86,ch_001,,,,,,,,,,,
LV87_ch_001,87,ch_001,,,,,,,,,,,
LV88_ch_001,88,ch_001,,,,,,,,,,,
LV89_ch_001,89,ch_001,,,,,,,,,,,
LV90_ch_001,90,ch_001,,,,,,,,,,,
LV91_ch_001,91,ch_001,,,,,,,,,,,
LV92_ch_001,92,ch_001,,,,,,,,,,,
LV93_ch_001,93,ch_001,,,,,,,,,,,
LV94_ch_001,94,ch_001,,,,,,,,,,,
LV95_ch_001,95,ch_001,,,,,,,,,,,
LV96_ch_001,96,ch_001,,,,,,,,,,,
LV97_ch_001,97,ch_001,,,,,,,,,,,
LV98_ch_001,98,ch_001,,,,,,,,,,,
LV99_ch_001,99,ch_001,,,,,,,,,,,
LV1_ch_002,1,ch_002,25,2,7,7,0,0,4,3,6,0,7
LV2_ch_002,2,ch_002,29,6,9,8,0,0,5,4,7,7,43
LV3_ch_002,3,ch_002,34,8,12,9,0,0,6,5,8,50,48
LV4_ch_002,4,ch_002,38,12,15,10,0,0,8,7,9,98,80
LV5_ch_002,5,ch_002,43,15,17,12,0,0,9,8,10,178,156
LV6_ch_002,6,ch_002,47,19,20,13,0,0,11,9,11,334,231
LV7_ch_002,7,ch_002,51,22,22,14,0,0,12,11,12,565,361
LV8_ch_002,8,ch_002,56,26,25,15,0,0,14,12,14,926,485
LV9_ch_002,9,ch_002,60,30,27,16,0,0,15,13,15,1411,628
LV10_ch_002,10,ch_002,65,32,30,17,0,0,17,15,16,2039,997
LV11_ch_002,11,ch_002,72,37,32,19,0,0,18,16,19,3036,1242
LV12_ch_002,12,ch_002,79,42,35,20,0,0,20,17,22,4278,1517
LV13_ch_002,13,ch_002,87,46,37,22,0,0,22,18,26,5795,1824
LV14_ch_002,14,ch_002,94,51,40,23,0,0,24,20,29,7619,2163
LV15_ch_002,15,ch_002,102,56,42,24,0,0,26,21,32,9782,2535
LV16_ch_002,16,ch_002,109,61,45,26,0,0,28,22,36,12317,2940
LV17_ch_002,17,ch_002,116,66,47,27,0,0,30,24,39,15257,3380
LV18_ch_002,18,ch_002,123,70,50,29,0,0,32,25,42,18637,3855
LV19_ch_002,19,ch_002,130,75,52,30,0,0,34,26,45,22492,4366
LV20_ch_002,20,ch_002,137,80,55,31,0,0,36,28,49,26858,5538
LV21_ch_002,21,ch_002,145,84,58,33,0,0,38,29,50,32396,6208
LV22_ch_002,22,ch_002,154,88,61,34,0,0,40,30,52,38604,6922
LV23_ch_002,23,ch_002,162,93,65,35,0,0,42,31,54,45526,7680
LV24_ch_002,24,ch_002,170,98,68,36,0,0,44,32,56,53206,8485
LV25_ch_002,25,ch_002,178,103,72,37,0,0,46,33,58,61691,
LV26_ch_002,26,ch_002,,,,,,,,,,,
LV27_ch_002,27,ch_002,,,,,,,,,,,
LV28_ch_002,28,ch_002,,,,,,,,,,,
LV29_ch_002,29,ch_002,,,,,,,,,,,
LV30_ch_002,30,ch_002,,,,,,,,,,,
LV31_ch_002,31,ch_002,,,,,,,,,,,
LV32_ch_002,32,ch_002,,,,,,,,,,,
LV33_ch_002,33,ch_002,,,,,,,,,,,
LV34_ch_002,34,ch_002,,,,,,,,,,,
LV35_ch_002,35,ch_002,,,,,,,,,,,
LV36_ch_002,36,ch_002,,,,,,,,,,,
LV37_ch_002,37,ch_002,,,,,,,,,,,
LV38_ch_002,38,ch_002,,,,,,,,,,,
LV39_ch_002,39,ch_002,,,,,,,,,,,
LV40_ch_002,40,ch_002,,,,,,,,,,,
LV41_ch_002,41,ch_002,,,,,,,,,,,
LV42_ch_002,42,ch_002,,,,,,,,,,,
LV43_ch_002,43,ch_002,,,,,,,,,,,
LV44_ch_002,44,ch_002,,,,,,,,,,,
LV45_ch_002,45,ch_002,,,,,,,,,,,
LV46_ch_002,46,ch_002,,,,,,,,,,,
LV47_ch_002,47,ch_002,,,,,,,,,,,
LV48_ch_002,48,ch_002,,,,,,,,,,,
LV49_ch_002,49,ch_002,,,,,,,,,,,
LV50_ch_002,50,ch_002,,,,,,,,,,,
LV51_ch_002,51,ch_002,,,,,,,,,,,
LV52_ch_002,52,ch_002,,,,,,,,,,,
LV53_ch_002,53,ch_002,,,,,,,,,,,
LV54_ch_002,54,ch_002,,,,,,,,,,,
LV55_ch_002,55,ch_002,,,,,,,,,,,
LV56_ch_002,56,ch_002,,,,,,,,,,,
LV57_ch_002,57,ch_002,,,,,,,,,,,
LV58_ch_002,58,ch_002,,,,,,,,,,,
LV59_ch_002,59,ch_002,,,,,,,,,,,
LV60_ch_002,60,ch_002,,,,,,,,,,,
LV61_ch_002,61,ch_002,,,,,,,,,,,
LV62_ch_002,62,ch_002,,,,,,,,,,,
LV63_ch_002,63,ch_002,,,,,,,,,,,
LV64_ch_002,64,ch_002,,,,,,,,,,,
LV65_ch_002,65,ch_002,,,,,,,,,,,
LV66_ch_002,66,ch_002,,,,,,,,,,,
LV67_ch_002,67,ch_002,,,,,,,,,,,
LV68_ch_002,68,ch_002,,,,,,,,,,,
LV69_ch_002,69,ch_002,,,,,,,,,,,
LV70_ch_002,70,ch_002,,,,,,,,,,,
LV71_ch_002,71,ch_002,,,,,,,,,,,
LV72_ch_002,72,ch_002,,,,,,,,,,,
LV73_ch_002,73,ch_002,,,,,,,,,,,
LV74_ch_002,74,ch_002,,,,,,,,,,,
LV75_ch_002,75,ch_002,,,,,,,,,,,
LV76_ch_002,76,ch_002,,,,,,,,,,,
LV77_ch_002,77,ch_002,,,,,,,,,,,
LV78_ch_002,78,ch_002,,,,,,,,,,,
LV79_ch_002,79,ch_002,,,,,,,,,,,
LV80_ch_002,80,ch_002,,,,,,,,,,,
LV81_ch_002,81,ch_002,,,,,,,,,,,
LV82_ch_002,82,ch_002,,,,,,,,,,,
LV83_ch_002,83,ch_002,,,,,,,,,,,
LV84_ch_002,84,ch_002,,,,,,,,,,,
LV85_ch_002,85,ch_002,,,,,,,,,,,
LV86_ch_002,86,ch_002,,,,,,,,,,,
LV87_ch_002,87,ch_002,,,,,,,,,,,
LV88_ch_002,88,ch_002,,,,,,,,,,,
LV89_ch_002,89,ch_002,,,,,,,,,,,
LV90_ch_002,90,ch_002,,,,,,,,,,,
LV91_ch_002,91,ch_002,,,,,,,,,,,
LV92_ch_002,92,ch_002,,,,,,,,,,,
LV93_ch_002,93,ch_002,,,,,,,,,,,
LV94_ch_002,94,ch_002,,,,,,,,,,,
LV95_ch_002,95,ch_002,,,,,,,,,,,
LV96_ch_002,96,ch_002,,,,,,,,,,,
LV97_ch_002,97,ch_002,,,,,,,,,,,
LV98_ch_002,98,ch_002,,,,,,,,,,,
LV99_ch_002,99,ch_002,,,,,,,,,,,
LV1_ch_003,1,ch_003,18,10,3,1,10,6,8,6,8,0,30
LV2_ch_003,2,ch_003,22,14,5,2,14,9,10,8,10,30,39
LV3_ch_003,3,ch_003,26,19,6,3,17,11,13,11,12,69,46
LV4_ch_003,4,ch_003,30,22,8,4,21,13,16,14,13,115,96
LV5_ch_003,5,ch_003,33,27,10,5,25,16,18,16,15,211,193
LV6_ch_003,6,ch_003,37,31,12,6,29,18,21,19,16,404,291
LV7_ch_003,7,ch_003,41,36,14,7,32,20,24,21,18,695,414
LV8_ch_003,8,ch_003,45,39,15,8,36,23,26,24,20,1109,561
LV9_ch_003,9,ch_003,49,44,15,9,40,25,29,26,21,1670,732
LV10_ch_003,10,ch_003,53,48,19,10,43,27,31,29,23,2402,1068
LV11_ch_003,11,ch_003,59,54,21,11,47,30,35,32,25,3470,1334
LV12_ch_003,12,ch_003,64,60,23,12,51,32,38,35,26,4804,1634
LV13_ch_003,13,ch_003,70,66,25,13,54,34,41,38,28,6438,1969
LV14_ch_003,14,ch_003,76,70,27,14,58,37,44,41,29,8407,2341
LV15_ch_003,15,ch_003,81,76,29,15,62,39,47,44,31,10748,2749
LV16_ch_003,16,ch_003,88,82,31,16,66,41,50,47,33,13497,3195
LV17_ch_003,17,ch_003,94,88,33,17,69,44,53,50,34,16692,3680
LV18_ch_003,18,ch_003,100,93,35,18,73,46,56,53,36,20372,4204
LV19_ch_003,19,ch_003,107,99,38,19,77,48,59,57,38,24576,4769
LV20_ch_003,20,ch_003,113,105,40,20,80,51,62,60,41,29345,5374
LV21_ch_003,21,ch_003,120,111,42,21,84,53,66,63,43,34719,6022
LV22_ch_003,22,ch_003,128,116,45,22,88,55,70,66,46,40741,6711
LV23_ch_003,23,ch_003,135,122,48,23,91,58,73,69,49,47452,7443
LV24_ch_003,24,ch_003,143,128,50,24,95,60,77,72,51,54895,8219
LV25_ch_003,25,ch_003,150,133,53,25,99,62,80,75,54,63114,9040
LV26_ch_003,26,ch_003,157,139,56,26,103,65,84,78,56,72154,9905
LV27_ch_003,27,ch_003,165,144,59,27,106,67,87,82,59,82059,10815
LV28_ch_003,28,ch_003,172,150,61,28,110,69,91,85,61,92874,11771
LV29_ch_003,29,ch_003,180,156,64,30,114,72,94,88,64,104645,12774
LV30_ch_003,30,ch_003,187,160,67,31,117,74,98,91,66,117419,13824
LV31_ch_003,31,ch_003,194,166,69,32,121,76,102,94,69,131243,14922
LV32_ch_003,32,ch_003,200,172,70,33,125,79,106,97,71,146165,16068
LV33_ch_003,33,ch_003,207,178,72,35,128,81,109,100,74,162233,17262
LV34_ch_003,34,ch_003,213,184,74,36,132,83,113,104,76,179495,18506
LV35_ch_003,35,ch_003,220,189,76,37,136,86,117,107,79,198001,19799
LV36_ch_003,36,ch_003,226,195,78,38,140,88,121,110,81,217800,21142
LV37_ch_003,37,ch_003,233,201,80,39,143,90,125,113,84,238942,22536
LV38_ch_003,38,ch_003,240,207,81,40,147,93,129,116,86,261478,23980
LV39_ch_003,39,ch_003,246,213,83,42,151,95,132,119,89,285458,25477
LV40_ch_003,40,ch_003,253,219,85,43,154,97,136,122,91,310935,27025
LV41_ch_003,41,ch_003,260,225,88,45,158,101,140,125,94,337960,28625
LV42_ch_003,42,ch_003,268,230,91,47,162,105,144,128,96,366585,30278
LV43_ch_003,43,ch_003,275,236,94,49,165,109,148,131,99,396863,31985
LV44_ch_003,44,ch_003,283,242,97,51,169,112,152,134,101,428848,33745
LV45_ch_003,45,ch_003,290,248,100,53,173,116,155,137,104,462593,35559
LV46_ch_003,46,ch_003,298,254,103,55,177,120,159,140,106,498152,37427
LV47_ch_003,47,ch_003,305,260,106,57,180,124,163,143,109,535579,39351
LV48_ch_003,48,ch_003,313,266,108,59,184,128,167,146,111,574930,41329
LV49_ch_003,49,ch_003,320,272,111,62,188,131,171,149,114,616259,43263
LV50_ch_003,50,ch_003,328,277,114,64,191,135,175,152,116,659522,
LV51_ch_003,51,ch_003,,,,,,,,,,,
LV52_ch_003,52,ch_003,,,,,,,,,,,
LV53_ch_003,53,ch_003,,,,,,,,,,,
LV54_ch_003,54,ch_003,,,,,,,,,,,
LV55_ch_003,55,ch_003,,,,,,,,,,,
LV56_ch_003,56,ch_003,,,,,,,,,,,
LV57_ch_003,57,ch_003,,,,,,,,,,,
LV58_ch_003,58,ch_003,,,,,,,,,,,
LV59_ch_003,59,ch_003,,,,,,,,,,,
LV60_ch_003,60,ch_003,,,,,,,,,,,
LV61_ch_003,61,ch_003,,,,,,,,,,,
LV62_ch_003,62,ch_003,,,,,,,,,,,
LV63_ch_003,63,ch_003,,,,,,,,,,,
LV64_ch_003,64,ch_003,,,,,,,,,,,
LV65_ch_003,65,ch_003,,,,,,,,,,,
LV66_ch_003,66,ch_003,,,,,,,,,,,
LV67_ch_003,67,ch_003,,,,,,,,,,,
LV68_ch_003,68,ch_003,,,,,,,,,,,
LV69_ch_003,69,ch_003,,,,,,,,,,,
LV70_ch_003,70,ch_003,,,,,,,,,,,
LV71_ch_003,71,ch_003,,,,,,,,,,,
LV72_ch_003,72,ch_003,,,,,,,,,,,
LV73_ch_003,73,ch_003,,,,,,,,,,,
LV74_ch_003,74,ch_003,,,,,,,,,,,
LV75_ch_003,75,ch_003,,,,,,,,,,,
LV76_ch_003,76,ch_003,,,,,,,,,,,
LV77_ch_003,77,ch_003,,,,,,,,,,,
LV78_ch_003,78,ch_003,,,,,,,,,,,
LV79_ch_003,79,ch_003,,,,,,,,,,,
LV80_ch_003,80,ch_003,,,,,,,,,,,
LV81_ch_003,81,ch_003,,,,,,,,,,,
LV82_ch_003,82,ch_003,,,,,,,,,,,
LV83_ch_003,83,ch_003,,,,,,,,,,,
LV84_ch_003,84,ch_003,,,,,,,,,,,
LV85_ch_003,85,ch_003,,,,,,,,,,,
LV86_ch_003,86,ch_003,,,,,,,,,,,
LV87_ch_003,87,ch_003,,,,,,,,,,,
LV88_ch_003,88,ch_003,,,,,,,,,,,
LV89_ch_003,89,ch_003,,,,,,,,,,,
LV90_ch_003,90,ch_003,,,,,,,,,,,
LV91_ch_003,91,ch_003,,,,,,,,,,,
LV92_ch_003,92,ch_003,,,,,,,,,,,
LV93_ch_003,93,ch_003,,,,,,,,,,,
LV94_ch_003,94,ch_003,,,,,,,,,,,
LV95_ch_003,95,ch_003,,,,,,,,,,,
LV96_ch_003,96,ch_003,,,,,,,,,,,
LV97_ch_003,97,ch_003,,,,,,,,,,,
LV98_ch_003,98,ch_003,,,,,,,,,,,
LV99_ch_003,99,ch_003,,,,,,,,,,,
LV11_ch_004,11,ch_004,72,18,29,14,39,33,40,28,9,3551,1242
LV12_ch_004,12,ch_004,76,21,32,15,42,36,43,30,10,4793,1655
LV13_ch_004,13,ch_004,83,24,35,16,45,39,46,33,11,6448,1995
LV14_ch_004,14,ch_004,89,28,37,17,49,42,49,35,13,8443,2372
LV15_ch_004,15,ch_004,93,31,40,18,52,45,52,37,15,10815,2787
LV16_ch_004,16,ch_004,100,35,43,19,56,48,55,40,17,13602,3240
LV17_ch_004,17,ch_004,107,39,46,20,59,51,58,42,19,16842,3733
LV18_ch_004,18,ch_004,114,42,49,21,62,53,61,44,20,20575,4266
LV19_ch_004,19,ch_004,119,46,52,22,66,56,64,46,22,24841,4840
LV20_ch_004,20,ch_004,126,49,55,23,69,59,67,49,24,29681,5456
LV21_ch_004,21,ch_004,134,55,58,24,73,62,71,51,27,35137,6114
LV22_ch_004,22,ch_004,142,60,62,25,76,65,76,53,29,41251,6815
LV23_ch_004,23,ch_004,150,67,66,26,80,68,80,56,31,48066,7561
LV24_ch_004,24,ch_004,158,72,70,27,83,71,84,58,34,55627,8351
LV25_ch_004,25,ch_004,165,77,74,28,86,74,88,60,36,63978,9186
LV26_ch_004,26,ch_004,173,84,77,30,90,77,93,62,39,73164,10067
LV27_ch_004,27,ch_004,181,88,81,32,93,80,97,65,41,83231,10995
LV28_ch_004,28,ch_004,188,94,85,34,97,83,101,67,43,94226,11969
LV29_ch_004,29,ch_004,196,100,89,35,100,86,105,69,46,106195,12991
LV30_ch_004,30,ch_004,203,105,92,37,104,88,110,72,48,119186,14062
LV31_ch_004,31,ch_004,210,113,95,39,107,91,113,74,51,133248,15180
LV32_ch_004,32,ch_004,218,121,98,40,110,94,116,76,53,148428,16349
LV33_ch_004,33,ch_004,225,130,101,42,114,97,119,78,55,164777,17567
LV34_ch_004,34,ch_004,234,137,104,44,117,100,122,81,57,182344,18835
LV35_ch_004,35,ch_004,242,145,107,45,121,103,125,83,59,201179,20154
LV36_ch_004,36,ch_004,249,154,110,47,124,106,128,85,61,221333,21524
LV37_ch_004,37,ch_004,257,162,113,48,127,109,131,88,63,242857,22946
LV38_ch_004,38,ch_004,264,171,116,50,131,112,135,90,65,265803,24421
LV39_ch_004,39,ch_004,272,178,119,52,134,115,138,92,67,290224,25948
LV40_ch_004,40,ch_004,278,186,122,53,138,118,141,94,70,316172,27528
LV41_ch_004,41,ch_004,285,192,125,55,141,121,143,97,72,343700,29162
LV42_ch_004,42,ch_004,292,196,128,57,145,123,145,99,74,372862,30850
LV43_ch_004,43,ch_004,299,201,131,58,148,126,148,101,76,403712,32592
LV44_ch_004,44,ch_004,306,205,134,60,151,129,150,104,78,436304,34389
LV45_ch_004,45,ch_004,311,210,137,61,155,132,152,106,80,470693,36242
LV46_ch_004,46,ch_004,318,215,140,63,158,135,155,108,82,506935,38151
LV47_ch_004,47,ch_004,325,220,143,65,162,138,157,111,84,545086,40116
LV48_ch_004,48,ch_004,332,225,146,66,165,141,159,113,86,585202,42137
LV49_ch_004,49,ch_004,338,229,149,68,169,144,161,115,88,627339,
LV50_ch_004,50,ch_004,,,,,,,,,,,
LV51_ch_004,51,ch_004,,,,,,,,,,,
LV52_ch_004,52,ch_004,,,,,,,,,,,
LV53_ch_004,53,ch_004,,,,,,,,,,,
LV54_ch_004,54,ch_004,,,,,,,,,,,
LV55_ch_004,55,ch_004,,,,,,,,,,,
LV56_ch_004,56,ch_004,,,,,,,,,,,
LV57_ch_004,57,ch_004,,,,,,,,,,,
LV58_ch_004,58,ch_004,,,,,,,,,,,
LV59_ch_004,59,ch_004,,,,,,,,,,,
LV60_ch_004,60,ch_004,,,,,,,,,,,
LV61_ch_004,61,ch_004,,,,,,,,,,,
LV62_ch_004,62,ch_004,,,,,,,,,,,
LV63_ch_004,63,ch_004,,,,,,,,,,,
LV64_ch_004,64,ch_004,,,,,,,,,,,
LV65_ch_004,65,ch_004,,,,,,,,,,,
LV66_ch_004,66,ch_004,,,,,,,,,,,
LV67_ch_004,67,ch_004,,,,,,,,,,,
LV68_ch_004,68,ch_004,,,,,,,,,,,
LV69_ch_004,69,ch_004,,,,,,,,,,,
LV70_ch_004,70,ch_004,,,,,,,,,,,
LV71_ch_004,71,ch_004,,,,,,,,,,,
LV72_ch_004,72,ch_004,,,,,,,,,,,
LV73_ch_004,73,ch_004,,,,,,,,,,,
LV74_ch_004,74,ch_004,,,,,,,,,,,
LV75_ch_004,75,ch_004,,,,,,,,,,,
LV76_ch_004,76,ch_004,,,,,,,,,,,
LV77_ch_004,77,ch_004,,,,,,,,,,,
LV78_ch_004,78,ch_004,,,,,,,,,,,
LV79_ch_004,79,ch_004,,,,,,,,,,,
LV80_ch_004,80,ch_004,,,,,,,,,,,
LV81_ch_004,81,ch_004,,,,,,,,,,,
LV82_ch_004,82,ch_004,,,,,,,,,,,
LV83_ch_004,83,ch_004,,,,,,,,,,,
LV84_ch_004,84,ch_004,,,,,,,,,,,
LV85_ch_004,85,ch_004,,,,,,,,,,,
LV86_ch_004,86,ch_004,,,,,,,,,,,
LV87_ch_004,87,ch_004,,,,,,,,,,,
LV88_ch_004,88,ch_004,,,,,,,,,,,
LV89_ch_004,89,ch_004,,,,,,,,,,,
LV90_ch_004,90,ch_004,,,,,,,,,,,
LV91_ch_004,91,ch_004,,,,,,,,,,,
LV92_ch_004,92,ch_004,,,,,,,,,,,
LV93_ch_004,93,ch_004,,,,,,,,,,,
LV94_ch_004,94,ch_004,,,,,,,,,,,
LV95_ch_004,95,ch_004,,,,,,,,,,,
LV96_ch_004,96,ch_004,,,,,,,,,,,
LV97_ch_004,97,ch_004,,,,,,,,,,,
LV98_ch_004,98,ch_004,,,,,,,,,,,
LV99_ch_004,99,ch_004,,,,,,,,,,,
LV22_ch_005,22,ch_005,167,106,64,30,83,89,50,73,88,42931,7363
LV23_ch_005,23,ch_005,174,111,66,31,86,91,52,78,93,50294,8178
LV24_ch_005,24,ch_005,180,116,69,33,89,94,54,82,98,58472,9042
LV25_ch_005,25,ch_005,187,121,72,35,93,97,56,87,103,67514,9956
LV26_ch_005,26,ch_005,194,126,74,36,97,99,58,91,108,77470,10922
LV27_ch_005,27,ch_005,201,130,77,38,100,102,60,96,113,88392,11939
LV28_ch_005,28,ch_005,208,135,79,40,104,104,62,100,118,100331,13009
LV29_ch_005,29,ch_005,214,140,82,42,108,107,64,105,123,113340,14132
LV30_ch_005,30,ch_005,221,145,85,43,111,110,66,109,128,127472,15310
LV31_ch_005,31,ch_005,228,150,87,45,115,112,68,114,130,142782,16541
LV32_ch_005,32,ch_005,235,154,90,46,118,115,70,119,132,159323,17828
LV33_ch_005,33,ch_005,242,159,92,47,122,118,73,123,135,177151,19171
LV34_ch_005,34,ch_005,249,164,95,49,126,120,75,128,137,196322,20661
LV35_ch_005,35,ch_005,255,169,98,50,129,123,77,132,139,216983,21937
LV36_ch_005,36,ch_005,262,174,100,52,133,126,79,137,142,238920,23542
LV37_ch_005,37,ch_005,269,178,103,53,136,128,81,141,144,262462,25114
LV38_ch_005,38,ch_005,276,183,106,54,140,131,83,146,146,287576,26746
LV39_ch_005,39,ch_005,283,188,108,55,144,133,85,150,148,314322,28436
LV40_ch_005,40,ch_005,290,198,111,56,147,136,87,155,151,342758,30187
LV41_ch_005,41,ch_005,297,202,113,57,151,139,89,157,153,372945,31999
LV42_ch_005,42,ch_005,305,207,116,58,155,142,91,161,155,404944,33871
LV43_ch_005,43,ch_005,312,212,119,59,158,145,93,165,158,438815,35805
LV44_ch_005,44,ch_005,320,217,121,60,162,149,95,169,160,474620,37802
LV45_ch_005,45,ch_005,327,222,124,61,165,152,97,173,162,512422,39861
LV46_ch_005,46,ch_005,335,226,126,62,169,155,99,177,165,552283,41983
LV47_ch_005,47,ch_005,342,232,129,63,173,158,102,180,167,594266,44169
LV48_ch_005,48,ch_005,350,237,132,64,176,162,104,184,169,638435,46419
LV49_ch_005,49,ch_005,357,242,134,65,180,165,106,188,171,684854,48734
LV50_ch_005,50,ch_005,365,247,137,65,184,168,108,192,174,733588,
LV51_ch_005,51,ch_005,,,,,,,,,,,
LV52_ch_005,52,ch_005,,,,,,,,,,,
LV53_ch_005,53,ch_005,,,,,,,,,,,
LV54_ch_005,54,ch_005,,,,,,,,,,,
LV55_ch_005,55,ch_005,,,,,,,,,,,
LV56_ch_005,56,ch_005,,,,,,,,,,,
LV57_ch_005,57,ch_005,,,,,,,,,,,
LV58_ch_005,58,ch_005,,,,,,,,,,,
